"symbol1" "symbol2" "CC"
"OSBPL7" "MOSPD3" NA
"PGLYRP1" "DLG5" 0.063
"PGLYRP1" "HSPBP1" 0.097
"SCTR" "HTR4" 0.128
"SCTR" "FSHR" 0.117
"SCTR" "GNB1" 0.135
"SCTR" "ADM2" 0
"SCTR" "GNB2" 0.099
"SCTR" "ADCY1" 0.137
"SCTR" "P2RY11" 0.146
"SCTR" "GPR20" 0.117
"PIGQ" "PIGL" 0.362
"RTN4R" "GNB1" 0.265
"RTN4R" "HRAS" 0.11
"RTN4R" "CAB39" 0.102
"RTN4R" "DIRAS3" NA
"RTN4R" "AKT1" 0.106
"RTN4R" "GNAI2" 0.162
"RTN4R" "DIRAS2" 0.187
"RTN4R" "EEF1G" 0.132
"RTN4R" "TYRO3" 0.185
"RTN4R" "RASL10B" NA
"RTN4R" "GNB2" 0.152
"RTN4R" "RTN2" 0.141
"RTN4R" "PPP3CC" 0.039
"RTN4R" "SH3GL1" 0.129
"RTN4R" "MCL1" 0.1
"PSMA4" "EXOSC5" 0.217
"PSMA4" "ACHE" 0.111
"PSMA4" "NFKB2" 0.17
"PSMA4" "PSMA7" 0.327
"PSMA4" "UQCRQ" 0.177
"PSMA4" "PSMC4" 0.274
"PSMA4" "PPIB" 0.155
"PSMA4" "PPP2R5A" 0.186
"PSMA4" "CDC25A" 0.133
"PSMA4" "RPN1" 0.172
"PSMA4" "PLK1" 0.178
"PSMA4" "TNF" 0.093
"PSMA4" "RELB" 0.178
"PSMA4" "PSMB4" 0.331
"PSMA4" "ASNA1" 0.177
"PSMA4" "DHH" NA
"PSMA4" "ANAPC2" 0.217
"PSMA4" "PSME4" 0.311
"PSMA4" "OAZ2" 0.117
"PSMA4" "NFKBIB" 0.227
"GRN" "HK3" 0.268
"GRN" "AKT1" 0.123
"GRN" "ITGA2B" 0.226
"GRN" "IFI30" 0.218
"GRN" "TNF" 0.155
"CD22" "SELL" 0.204
"CD22" "FFAR2" 0.12
"CD22" "CD7" 0.111
"CD22" "TNF" 0.291
"CD22" "CD79A" 0.262
"CD22" "SPN" 0.215
"CD22" "CD72" 0.12
"CD22" "TNFRSF13B" 0.187
"PSMC4" "NFKB2" 0.163
"PSMC4" "PSMA7" 0.309
"PSMC4" "PPP2R5A" 0.177
"PSMC4" "CDC25A" 0.137
"PSMC4" "PLK1" 0.146
"PSMC4" "UFD1L" NA
"PSMC4" "TNF" 0.078
"PSMC4" "RELB" 0.166
"PSMC4" "PSMB4" 0.29
"PSMC4" "DHH" NA
"PSMC4" "ANAPC2" 0.214
"PSMC4" "PSME4" 0.302
"PSMC4" "OAZ2" 0.119
"PSMC4" "NFKBIB" 0.227
"PSMC4" "FTSJ3" 0.137
"PSMC4" "LHX2" NA
"BCL3" "NFKB2" 0.255
"BCL3" "STAT3" 0.17
"BCL3" "AKT1" 0.157
"BCL3" "PLK1" 0.189
"BCL3" "RFXANK" 0.112
"BCL3" "TNF" 0.093
"BCL3" "HDAC3" 0.166
"BCL3" "RELB" 0.158
"PDZD4" "LAMA5" NA
"HBQ1" "HBZ" 0.604
"HBQ1" "ALAS2" 0.091
"HBQ1" "HBE1" 0.541
"HBQ1" "ECHS1" 0.085
"HBQ1" "TH" 0.085
"HBQ1" "HBD" 0.541
"HBQ1" "PAH" 0.227
"ITGB4" "KLC2" 0.102
"ITGB4" "HRAS" 0.063
"ITGB4" "VWF" 0.122
"ITGB4" "CHAD" 0.069
"ITGB4" "PRKCG" 0.052
"ITGB4" "AKT1" 0.1
"ITGB4" "ITGA2B" 0.178
"ITGB4" "LAMA5" 0.154
"ITGB4" "CRK" 0.1
"ITGB4" "EPPK1" 0.214
"ITGB4" "ACTN4" 0.176
"ITGB4" "COMP" 0.105
"ITGB4" "COL9A3" 0.12
"PPP1R15A" "PPP2R4" NA
"PPP1R15A" "PPP2R5A" 0.19
"PPP1R15A" "TSC2" 0.166
"PPP1R15A" "ZNF148" 0.152
"PPP1R15A" "KLF6" 0.12
"TFAP4" "SP1" 0.259
"TFAP4" "TPST2" 0.092
"TFAP4" "SALL2" 0.146
"THPO" "SPI1" 0
"THPO" "ACHE" 0.214
"THPO" "VWF" 0.214
"THPO" "GATA2" 0
