"symbol1" "symbol2" "BP"
"ACHE" "CAMK2A" 0.271
"ACHE" "HAND1" 0.195
"ACP5" "CD68" 0.034
"ACTA1" "ACTA2" 0.417
"ACTA1" "ACTN4" 0.236
"ACTA1" "AKT1" 0.158
"ACTA1" "ARF1" 0.117
"ACTA1" "CSK" 0.108
"ACTA1" "DDOST" 0.056
"ACTA1" "EEF2" 0.108
"ACTA1" "EIF4A2" 0.102
"ACTA1" "EIF5A" 0.095
"ACTA1" "HSPB1" 0.207
"ACTA1" "LAMA5" 0.226
"ACTA1" "PFDN1" NA
"ACTA1" "PGK1" 0.235
"ACTA1" "RAPSN" 0.022
"ACTA1" "RPL4" 0.093
"ACTA1" "RPLP0" 0.15
"ACTA1" "RPLP2" 0.093
"ACTA1" "RPS9" 0.156
"ACTA1" "TMSB4X" 0.241
"ACTA1" "TNNI1" 0.386
"ACTA1" "TNNI2" 0.41
"ACTA1" "TPM2" 0.36
"ACTA1" "TMSB4Y" 0.242
"ACTA1" "GSPT2" 0.12
"ACTA1" "CTNNBL1" 0.173
"ACTA1" "TUBB" 0.07
"ACTA1" "HIST1H2AA" 0.238
"ACTA1" "TUBB2B" 0.24
"ACTA2" "ACTN4" 0.166
"ACTA2" "KLF6" 0.244
"ACTA2" "EEF2" 0.162
"ACTA2" "EIF5A" 0.119
"ACTA2" "HSPB1" 0.258
"ACTA2" "PGK1" 0.211
"ACTA2" "RPL4" 0.114
"ACTA2" "RPL7" 0.12
"ACTA2" "RPLP0" 0.125
"ACTA2" "RPLP2" 0.114
"ACTA2" "RPS9" 0.159
"ACTA2" "RPS23" 0.124
"ACTA2" "SRF" 0.275
"ACTA2" "TMSB4X" 0.225
"ACTA2" "TPM2" 0.19
"ACTA2" "RPL14" 0.112
"ACTA2" "ARPC1B" 0.108
"ACTA2" "GSPT2" 0.126
"ACTA2" "PYCR2" 0.114
"ACTA2" "TUBB" 0.053
"ACTA2" "TUBB2B" 0.181
"ACTN4" "AP2A1" 0.212
"ACTN4" "AKT1" 0.261
"ACTN4" "CAMK2A" 0.272
"ACTN4" "CSK" 0.255
"ACTN4" "CSNK2B" 0.261
"ACTN4" "DNM2" 0.289
"ACTN4" "EEF2" 0.21
"ACTN4" "FAU" NA
"ACTN4" "GNB1" 0.143
"ACTN4" "GNB2" 0.106
"ACTN4" "MDH2" 0.073
"ACTN4" "MSN" 0.261
"ACTN4" "MYL6" 0.161
"ACTN4" "PF4" 0.268
"ACTN4" "PGK1" 0.167
"ACTN4" "RAB5C" 0.273
"ACTN4" "RPL4" 0.184
"ACTN4" "RPL7" 0.187
"ACTN4" "RPL8" 0.186
"ACTN4" "RPL27A" 0.184
"ACTN4" "RPLP2" 0.184
"ACTN4" "RPN1" 0.066
"ACTN4" "SET" 0.195
"ACTN4" "SPARC" 0.315
"ACTN4" "TMSB4X" 0.37
"ACTN4" "TNNI2" 0.187
"ACTN4" "TNNT3" 0.197
"ACTN4" "TPM2" 0.215
"ACTN4" "TSC2" 0.272
"ACTN4" "VEGFB" 0.299
"ACTN4" "VWF" 0.224
"ACTN4" "SLC9A3R2" 0.186
"ACTN4" "ARPC1B" 0.234
"ACTN4" "TRIM3" 0.07
"ACTN4" "RPL13A" 0.227
"ACTN4" "TUBB" 0.178
"ADAR" "EGR1" 0.261
"ADAR" "IFIT2" 0.306
"ADAR" "IRF2" 0.342
"ADAR" "IRF3" 0.279
"ADAR" "IRF7" 0.306
"ADAR" "NONO" 0.239
"ADAR" "NPM1" 0.283
"ADAR" "PCBP1" 0.236
"ADAR" "PSMB4" 0.129
"ADAR" "RPL11" 0.265
"ADAR" "RPS2" 0.228
"ADAR" "RPL35" 0.203
"ADCY1" "FSHR" 0.306
"ADCY1" "GNAI2" 0.25
"ADCY1" "GNB2" 0.187
"ADCY1" "GRM4" 0.277
"ADCY1" "HRAS" 0.169
"ADCY1" "HTR4" 0.242
"ADCY1" "NPY" 0.212
"ADCY1" "SCTR" 0.201
"ADCY1" "CXCR4" 0.23
"ADCY1" "ADM2" 0.208
"ADCY1" "NPW" 0.184
"AP2A1" "ARRB2" 0.308
"AP2A1" "CAMK2A" 0.242
"AP2A1" "CD22" 0.243
"AP2A1" "CRK" 0.266
"AP2A1" "CSNK2B" 0.239
"AP2A1" "DNM2" 0.32
"AP2A1" "EEF2" 0.209
"AP2A1" "EIF5A" 0.193
"AP2A1" "HLA-DRB1" 0.204
"AP2A1" "PPP3CC" 0.088
"AP2A1" "RAB5B" 0.272
"AP2A1" "RAB5C" 0.24
"AP2A1" "RPN1" 0.093
"AP2A1" "RPS9" 0.221
"AP2A1" "RAB11B" 0.27
"AP2A1" "PIP5K1C" 0.28
"AP2A1" "RPL13A" 0.259
"AP2A1" "BIN2" 0.222
"AP2A1" "EPN3" NA
"AKT1" "ARF1" 0.237
"AKT1" "ARRB2" 0.327
"AKT1" "BAD" 0.379
"AKT1" "ZFP36L1" 0.35
"AKT1" "CAMK2A" 0.319
"AKT1" "CRK" 0.302
"AKT1" "CSK" 0.229
"AKT1" "DDOST" 0.17
"AKT1" "EEF2" 0.182
"AKT1" "EGR1" 0.307
"AKT1" "EIF4EBP1" 0.202
"AKT1" "FOXM1" 0.265
"AKT1" "FLII" NA
"AKT1" "GATA2" 0.291
"AKT1" "GNAI2" 0.188
"AKT1" "GNB2" 0.108
"AKT1" "GYS1" 0.644
"AKT1" "HRAS" 0.321
"AKT1" "HSPB1" 0.344
"AKT1" "IRF3" 0.243
"AKT1" "ITGA2B" 0.148
"AKT1" "ITGB4" 0.191
"AKT1" "MCL1" 0.291
"AKT1" "MEF2D" 0.166
"AKT1" "MSN" 0.302
"AKT1" "NONO" 0.235
"AKT1" "NPM1" 0.33
"AKT1" "PCBP1" 0.071
"AKT1" "SERPINB5" 0.529
"AKT1" "PLK1" 0.305
"AKT1" "PPP2R5A" 0.225
"AKT1" "PSMA7" 0.103
"AKT1" "PSMB4" 0.103
"AKT1" "PSMC4" 0.157
"AKT1" "RPL7" 0.168
"AKT1" "RPS2" 0.207
"AKT1" "RPS9" 0.209
"AKT1" "SDHC" 0.16
"AKT1" "SOS1" 0.273
"AKT1" "ST14" 0.121
"AKT1" "STAT3" 0.338
"AKT1" "STAT5A" 0.289
"AKT1" "STK11" 0.328
"AKT1" "TNF" 0.424
"AKT1" "TPM2" 0.112
"AKT1" "TSC2" 0.365
"AKT1" "NCK2" 0.288
"AKT1" "PIAS1" 0.262
"AKT1" "KHSRP" 0.244
"AKT1" "HDAC3" 0.296
"AKT1" "SPHK1" 0.322
"AKT1" "NUDC" 0.055
"AKT1" "PLEKHO1" NA
"AKT1" "SYTL1" 0.203
"AKT1" "RASL10B" 0.155
"AKT1" "TUBB" 0.123
"ALAS2" "SARDH" 0.184
"ALAS2" "HBD" 0.24
"ALAS2" "LSS" 0.205
"ALAS2" "MDH2" 0.108
"ALAS2" "NDUFV1" 0.091
"ALAS2" "FIS1" 0.172
"ALOX5AP" "CD53" 0.138
"ALOX5AP" "CD68" 0.115
"ALOX5AP" "HLA-DRB1" 0.194
"ALOX5AP" "PLP2" 0.132
"ALOX5AP" "S100A6" 0.123
"ALOX5AP" "TBXAS1" 0.381
"ALOX5AP" "LST1" 0.096
"ALOX5AP" "VAMP8" 0.125
"AMBP" "CD79A" 0.166
"ANXA5" "EEF2" 0.17
"ANXA5" "MSN" 0.228
"ANXA5" "PGK1" 0.165
"ANXA5" "PPIB" 0.109
"ANXA5" "CRTAP" 0.108
"ANXA11" "HLA-DRA" 0.069
"ANXA11" "S100A6" 0.056
"APLP1" "CPE" 0.131
"APLP1" "VGF" 0.143
"ARF1" "ASNA1" 0.193
"ARF1" "CKS1B" 0.084
"ARF1" "CSNK2B" 0.225
"ARF1" "CTSL" 0.182
"ARF1" "DDOST" 0.193
"ARF1" "DYNC1H1" 0.28
"ARF1" "EEF1G" 0.138
"ARF1" "EEF2" 0.179
"ARF1" "EIF4A2" 0.094
"ARF1" "EIF5A" 0.168
"ARF1" "FAU" NA
"ARF1" "GNB1" 0.166
"ARF1" "GNB2" 0.067
"ARF1" "HLA-DRB1" 0.237
"ARF1" "HRAS" 0.233
"ARF1" "MSN" 0.251
"ARF1" "NPM1" 0.257
"ARF1" "PCBP1" 0.113
"ARF1" "PGK1" 0.186
"ARF1" "PLK1" 0.207
"ARF1" "PPIB" 0.162
"ARF1" "PPP3CC" 0.099
"ARF1" "PSMA4" 0.065
"ARF1" "PSMA7" 0.065
"ARF1" "PSMB4" 0.065
"ARF1" "PSMC4" 0.141
"ARF1" "RAB5B" 0.28
"ARF1" "RAB5C" 0.249
"ARF1" "RPL4" 0.153
"ARF1" "RPL8" 0.156
"ARF1" "RPL11" 0.223
"ARF1" "RPL15" 0.156
"ARF1" "RPL18" 0.156
"ARF1" "RPL30" 0.22
"ARF1" "RPL27A" 0.153
"ARF1" "RPL32" 0.156
"ARF1" "RPL36AL" NA
"ARF1" "RPL37" 0.153
"ARF1" "RPLP0" 0.25
"ARF1" "RPLP2" 0.153
"ARF1" "RPN1" 0.057
"ARF1" "RPS2" 0.181
"ARF1" "RPS9" 0.194
"ARF1" "RPS23" 0.191
"ARF1" "SURF4" 0.234
"ARF1" "UQCRC2" 0.17
"ARF1" "RPL14" 0.184
"ARF1" "RAB11B" 0.283
"ARF1" "ARFRP1" 0.24
"ARF1" "RPL35" 0.179
"ARF1" "EXOSC7" 0.142
"ARF1" "PIP5K1C" 0.318
"ARF1" "RPL13A" 0.248
"ARF1" "GSPT2" 0.12
"ARF1" "PYCR2" 0.092
"ARF1" "SEC61A1" 0.186
"ARF1" "VPS28" 0.273
"ARF1" "BET1L" 0.199
"ARF1" "CAB39" 0.212
"ARF1" "PPAN" 0.374
"ARF1" "SMAP1" 0.598
"ARF1" "TRAPPC5" 0.196
"ARF1" "TUBB" 0.17
"RHOG" "CSK" 0.243
"RHOG" "CYBA" 0.215
"RHOG" "GNAI2" 0.221
"RHOG" "HCK" 0.276
"RHOG" "SOS1" 0.286
"RHOG" "SPI1" 0.212
"RHOG" "STAT3" 0.241
"RHOG" "VAV1" 0.302
"RHOG" "STK24" 0.242
"RHOG" "RHOBTB1" 0.349
"RHOG" "ARHGEF16" 0.35
"RHOG" "ARHGAP17" 0.309
"RHOG" "ARHGAP9" 0.276
"RHOG" "FGD3" 0.338
"RHOG" "RHOT2" 0.28
"ARR3" "ARRB2" NA
"ARR3" "FSHR" NA
"ARR3" "CXCR4" NA
"ARRB2" "CSK" 0.267
"ARRB2" "DYNC1H1" 0.195
"ARRB2" "EEF2" 0.222
"ARRB2" "HCK" 0.308
"ARRB2" "MYL6" 0.098
"ARRB2" "NONO" 0.24
"ARRB2" "RAB5C" 0.227
"ARRB2" "RANGAP1" 0.152
"ARRB2" "RPL4" 0.178
"ARRB2" "RPL7" 0.185
"ARRB2" "RPL11" 0.307
"ARRB2" "RPL18" 0.179
"ARRB2" "RPLP0" 0.225
"ARRB2" "RPLP2" 0.178
"ARRB2" "CXCR4" 0.299
"ARRB2" "RBM10" NA
"ARRB2" "RPL14" 0.184
"ARRB2" "NUDC" 0.055
"ARRB2" "RPL35" 0.184
"ARRB2" "ARHGAP17" 0.192
"ASIP" "F11R" 0.075
"ASL" "DDOST" 0.202
"ASL" "GLUD2" 0.507
"ASL" "GNB2" 0.034
