"symbol1"	"symbol2"	"CC"
"ACHE"	"CAMK2A"	0.113
"ACHE"	"HAND1"	0.047
"ACP5"	"CD68"	0.116
"ACTA1"	"ACTA2"	0.276
"ACTA1"	"ACTN4"	0.22
"ACTA1"	"AKT1"	0.143
"ACTA1"	"ARF1"	0.165
"ACTA1"	"CSK"	0.139
"ACTA1"	"DDOST"	0.082
"ACTA1"	"EEF2"	0.137
"ACTA1"	"EIF4A2"	0.074
"ACTA1"	"EIF5A"	0.082
"ACTA1"	"HSPB1"	0.187
"ACTA1"	"LAMA5"	0.159
"ACTA1"	"PFDN1"	NA
"ACTA1"	"PGK1"	0.14
"ACTA1"	"RAPSN"	0.15
"ACTA1"	"RPL4"	0.156
"ACTA1"	"RPLP0"	0.146
"ACTA1"	"RPLP2"	0.172
"ACTA1"	"RPS9"	0.158
"ACTA1"	"TMSB4X"	0.132
"ACTA1"	"TNNI1"	0.263
"ACTA1"	"TNNI2"	0.252
"ACTA1"	"TPM2"	0.304
"ACTA1"	"TMSB4Y"	0.097
"ACTA1"	"GSPT2"	0.071
"ACTA1"	"CTNNBL1"	0.063
"ACTA1"	"TUBB"	0.252
"ACTA1"	"HIST1H2AA"	0.174
"ACTA1"	"TUBB2B"	0.177
"ACTA2"	"ACTN4"	0.176
"ACTA2"	"KLF6"	0.079
"ACTA2"	"EEF2"	0.148
"ACTA2"	"EIF5A"	0.091
"ACTA2"	"HSPB1"	0.15
"ACTA2"	"PGK1"	0.137
"ACTA2"	"RPL4"	0.139
"ACTA2"	"RPL7"	0.096
"ACTA2"	"RPLP0"	0.135
"ACTA2"	"RPLP2"	0.149
"ACTA2"	"RPS9"	0.14
"ACTA2"	"RPS23"	0.112
"ACTA2"	"SRF"	0.055
"ACTA2"	"TMSB4X"	0.123
"ACTA2"	"TPM2"	0.077
"ACTA2"	"RPL14"	0.154
"ACTA2"	"ARPC1B"	0.151
"ACTA2"	"GSPT2"	0.099
"ACTA2"	"PYCR2"	0.059
"ACTA2"	"TUBB"	0.18
"ACTA2"	"TUBB2B"	0.054
"ACTN4"	"AP2A1"	0.158
"ACTN4"	"AKT1"	0.148
"ACTN4"	"CAMK2A"	0.161
"ACTN4"	"CSK"	0.128
"ACTN4"	"CSNK2B"	0.198
"ACTN4"	"DNM2"	0.188
"ACTN4"	"EEF2"	0.19
"ACTN4"	"FAU"	NA
"ACTN4"	"GNB1"	0.171
"ACTN4"	"GNB2"	0.194
"ACTN4"	"MDH2"	0.137
"ACTN4"	"MSN"	0.234
"ACTN4"	"MYL6"	0.19
"ACTN4"	"PF4"	0.176
"ACTN4"	"PGK1"	0.128
"ACTN4"	"RAB5C"	0.172
"ACTN4"	"RPL4"	0.213
"ACTN4"	"RPL7"	0.172
"ACTN4"	"RPL8"	0.157
"ACTN4"	"RPL27A"	0.128
"ACTN4"	"RPLP2"	0.211
"ACTN4"	"RPN1"	0.117
"ACTN4"	"SET"	0.156
"ACTN4"	"SPARC"	0.22
"ACTN4"	"TMSB4X"	0.17
"ACTN4"	"TNNI2"	0.144
"ACTN4"	"TNNT3"	0.137
"ACTN4"	"TPM2"	0.148
"ACTN4"	"TSC2"	0.138
"ACTN4"	"VEGFB"	0.178
"ACTN4"	"VWF"	0.217
"ACTN4"	"SLC9A3R2"	0.146
"ACTN4"	"ARPC1B"	0.243
"ACTN4"	"TRIM3"	0.097
"ACTN4"	"RPL13A"	0.188
"ACTN4"	"TUBB"	0.205
"ADAR"	"EGR1"	0.153
"ADAR"	"IFIT2"	0.089
"ADAR"	"IRF2"	0.136
"ADAR"	"IRF3"	0.147
"ADAR"	"IRF7"	0.155
"ADAR"	"NONO"	0.175
"ADAR"	"NPM1"	0.19
"ADAR"	"PCBP1"	0.178
"ADAR"	"PSMB4"	0.151
"ADAR"	"RPL11"	0.205
"ADAR"	"RPS2"	0.163
"ADAR"	"RPL35"	0.211
"ADCY1"	"FSHR"	0.16
"ADCY1"	"GNAI2"	0.174
"ADCY1"	"GNB2"	0.171
"ADCY1"	"GRM4"	0.208
"ADCY1"	"HRAS"	0.129
"ADCY1"	"HTR4"	0.151
"ADCY1"	"NPY"	0.124
"ADCY1"	"SCTR"	0.137
"ADCY1"	"CXCR4"	0.17
"ADCY1"	"ADM2"	0.214
"ADCY1"	"NPW"	0.214
"AP2A1"	"ARRB2"	0.277
"AP2A1"	"CAMK2A"	0.26
