"symbol1" "symbol2" "MF"
"REM1" "GSTZ1" 0.046
"REM1" "LRRC24" NA
"REM1" "ISLR2" NA
"REM1" "LRRK1" 0.046
"REM1" "PLEKHG5" 0.046
"REM1" "LRRC38" 0.046
"CDC34" "UBE2E3" 0.379
"CDC34" "FBXL2" 0.227
"CDC34" "CBL" 0.198
"CDC34" "UBL4B" 0.095
"CDC34" "ZNRF3" 0.271
"GSTZ1" "EEF1D" 0.052
"GSTZ1" "MPO" 0.186
"PCK2" "CRTC2" 0.055
"PCK2" "RETN" NA
"SLC17A7" "GABBR2" 0
"AMH" "INHBE" 0.348
"RETN" "SP1" NA
"HOXA2" "HIST1H2BN" 0.256
"SNX17" "LDLR" 0.071
"TBX4" "DUX4" 0.224
"ACADS" "TXNRD2" 0.241
"F2RL3" "ARRB1" 0
"F2RL3" "AVPR1B" 0.364
"F2RL3" "CHRM1" 0.364
"SHFM1" "FHL2" NA
"SHFM1" "DYNC1I1" NA
"SHFM1" "NFKBIE" NA
"IRAK2" "PELI3" 0.196
"ITIH5" "KIAA1549" NA
"ADAMTS8" "ADAMTS15" NA
"USP37" "UBL4B" 0.095
"USP37" "RHPN1" 0.095
"DPEP1" "SAMM50" 0.095
"DGCR8" "CDT1" 0.119
"SPTBN4" "SPTBN2" 0.289
"SPTBN4" "DYNC1I1" 0.2
"SPTBN4" "CABP4" 0.079
"CBL" "UBE2E3" 0.198
"CBL" "LDLR" 0.085
"CBL" "ARRB1" 0.12
"CBL" "CD79B" 0.067
"CBL" "CBLC" 0.334
"TRPV5" "TRPM1" 0.505
"TRPV5" "VDR" 0.037
"MAD1L1" "PMF1" 0.071
"MAD1L1" "CENPH" 0.388
"INHBE" "BMPER" NA
"INHBE" "TGFB2" 0.367
"ASGR1" "CLEC1B" 0.095
"ASGR1" "ITIH3" 0.095
"CBX4" "HIST1H2BN" 0.046
"NFKBIE" "CARD11" 0.095
"CENPH" "HIST1H2BN" 0.046
"CENPH" "PMF1" 0.066
"UCHL1" "BCS1L" 0.095
"UCHL1" "KRT4" 0.095
"MYO1A" "RAC3" NA
"MYO1A" "CABP4" NA
"EPB42" "ALAS2" 0.128
"EPB42" "HBD" 0.136
"CDT1" "LMNB2" 0.095
"RILP" "HLA-DRA" 0.071
"RILP" "SPTBN2" 0.219
"RILP" "DYNC1I1" 0.071
"KCNAB3" "KCNH6" 0
"RAC3" "PLEKHG5" 0.154
"RAC3" "ARHGAP10" 0.061
"CHRM1" "AVPR1B" 0.248
"CHRM1" "ARRB1" 0
"CHRM1" "SP1" 0
"CHRM1" "LAMB2" 0
"DNAI2" "DYNC1I1" 0.489
"BRSK1" "RIMS2" 0.059
"SPTBN2" "DYNC1I1" 0.06
"SPTBN2" "CABP4" 0.066
"SPTBN2" "HLA-DRA" 0.054
"OR1E1" "ARRB1" 0
"DYNC1I1" "HLA-DRA" 0.055
"LPA" "LDLR" 0.058
"FHL2" "SP1" 0.149
"CABP4" "UBL4B" 0.095
"CABP4" "CACNA1E" 0
"IGLL1" "CD79B" 0.083
"SP1" "VDR" 0.254
"SP1" "POU2F1" 0.238
"SP1" "NR1H3" 0.258
"HIST1H2AK" "HIST1H2BN" 0.256
"ALAS2" "GNMT" 0.348
"ALAS2" "HBD" 0.237
"UBL4B" "UBE2E3" 0.095
"PDCD1" "HLA-DRA" 0.095
"OR1J2" "ARRB1" NA
"SAMM50" "STK32A" 0
"TGFB2" "ITIH3" 0.126
"DNTTIP1" "WIBG" NA
"OR5C1" "ARRB1" 0.033
"ZNF593" "MTG1" 0
"IDH3B" "TXNRD2" 0.321
"LRRK1" "CARD11" 0.076
"UBE2E3" "ZNRF3" 0.271
"CD79B" "CARD11" 0.076
"HIST1H2BN" "SUPT5H" 0.205
"NR1H3" "LDLR" 0.045
"EEF1D" "SUPT5H" 0.166
"ARRB1" "LDLR" 0.088
"ARRB1" "OR7G1" 0
