"symbol1" "symbol2" "MF"
"OSBPL7" "MOSPD3" NA
"PGLYRP1" "DLG5" 0.103
"PGLYRP1" "HSPBP1" 0.101
"SCTR" "HTR4" 0.548
"SCTR" "FSHR" 0.535
"SCTR" "GNB1" 0.205
"SCTR" "ADM2" 0.134
"SCTR" "GNB2" 0.205
"SCTR" "ADCY1" 0
"SCTR" "P2RY11" 0.479
"SCTR" "GPR20" 0.858
"PIGQ" "PIGL" 0
"RTN4R" "GNB1" 0.561
"RTN4R" "HRAS" 0.557
"RTN4R" "CAB39" 0.502
"RTN4R" "DIRAS3" 1
"RTN4R" "AKT1" 0.549
"RTN4R" "GNAI2" 0.549
"RTN4R" "DIRAS2" 0.594
"RTN4R" "EEF1G" 0.555
"RTN4R" "TYRO3" 0.64
"RTN4R" "RASL10B" NA
"RTN4R" "GNB2" 0.561
"RTN4R" "RTN2" 1
"RTN4R" "PPP3CC" 0.495
"RTN4R" "SH3GL1" 0.582
"RTN4R" "MCL1" 0.509
"PSMA4" "EXOSC5" 0.728
"PSMA4" "ACHE" 0.564
"PSMA4" "NFKB2" 0.655
"PSMA4" "PSMA7" 0.954
"PSMA4" "UQCRQ" 0.118
"PSMA4" "PSMC4" 0.821
"PSMA4" "PPIB" 0.581
"PSMA4" "PPP2R5A" 0.615
"PSMA4" "CDC25A" 0.692
"PSMA4" "RPN1" 0.674
"PSMA4" "PLK1" 0.636
"PSMA4" "TNF" 0.676
"PSMA4" "RELB" 0.649
"PSMA4" "PSMB4" 1
"PSMA4" "ASNA1" 0.652
"PSMA4" "DHH" 0.737
"PSMA4" "ANAPC2" 1
"PSMA4" "PSME4" 0.56
"PSMA4" "OAZ2" 0.648
"PSMA4" "NFKBIB" 0.736
"GRN" "HK3" 0.084
"GRN" "AKT1" 0.595
"GRN" "ITGA2B" 0.809
"GRN" "IFI30" 0.719
"GRN" "TNF" 0.759
"CD22" "SELL" 0.502
"CD22" "FFAR2" 0.556
"CD22" "CD7" 0.624
"CD22" "TNF" 0.605
"CD22" "CD79A" 0.576
"CD22" "SPN" 0.244
"CD22" "CD72" 0.655
"CD22" "TNFRSF13B" 0.567
"PSMC4" "NFKB2" 0.655
"PSMC4" "PSMA7" 0.811
"PSMC4" "PPP2R5A" 0.615
"PSMC4" "CDC25A" 0.692
"PSMC4" "PLK1" 0.636
"PSMC4" "UFD1L" NA
"PSMC4" "TNF" 0.676
"PSMC4" "RELB" 0.649
"PSMC4" "PSMB4" 0.821
"PSMC4" "DHH" 0.737
"PSMC4" "ANAPC2" 1
"PSMC4" "PSME4" 0.56
"PSMC4" "OAZ2" 0.648
"PSMC4" "NFKBIB" 0.736
"PSMC4" "FTSJ3" 0.551
"PSMC4" "LHX2" 0.647
"BCL3" "NFKB2" 0.668
"BCL3" "STAT3" 0.68
"BCL3" "AKT1" 0.582
"BCL3" "PLK1" 0.641
"BCL3" "RFXANK" 0.484
"BCL3" "TNF" 0.685
"BCL3" "HDAC3" 0.661
"BCL3" "RELB" 0.66
"PDZD4" "LAMA5" 0
"HBQ1" "HBZ" 1
"HBQ1" "ALAS2" 0.57
"HBQ1" "HBE1" 0.946
"HBQ1" "ECHS1" 0.46
"HBQ1" "TH" 0.498
"HBQ1" "HBD" 0.946
"HBQ1" "PAH" 0.186
"ITGB4" "KLC2" 0.671
"ITGB4" "HRAS" 0.569
"ITGB4" "VWF" 0.645
"ITGB4" "CHAD" NA
"ITGB4" "PRKCG" 0.247
"ITGB4" "AKT1" 0.546
"ITGB4" "ITGA2B" 0.652
"ITGB4" "LAMA5" 0.501
"ITGB4" "CRK" 0.533
"ITGB4" "EPPK1" 0.393
"ITGB4" "ACTN4" 0.635
"ITGB4" "COMP" 0.555
"ITGB4" "COL9A3" 0.156
"PPP1R15A" "PPP2R4" NA
"PPP1R15A" "PPP2R5A" 0.884
"PPP1R15A" "TSC2" 0.735
"PPP1R15A" "ZNF148" 0.589
"PPP1R15A" "KLF6" 0.579
"TFAP4" "SP1" 0.858
"TFAP4" "TPST2" 0.411
"TFAP4" "SALL2" 0.872
"THPO" "SPI1" 0.426
"THPO" "ACHE" 0.336
"THPO" "VWF" 0.457
"THPO" "GATA2" 0.478
"THPO" "SOS1" 0.628
"THPO" "STAT3" 0.453
"THPO" "PSMA7" 0.615
"THPO" "CSF3R" 0.398
"THPO" "STAT5A" 0.561
"THPO" "IL7R" 0.443
