"symbol1","symbol2","MF","BP","CC"
"ATP5G2","COX5A",NA,NA,NA
"ENTPD2","POLR2L",0.149,0.466,0.252
"FRG1","RPS9",0.748,0.554,0.553
"GLUD2","COX5A",0.221,0.332,0.64
"HCFC1","ANAPC2",1,0.288,0.663
"NFKBIB","POLR2L",0.378,0.681,1
"NFKBIB","S100A8",0.541,0.282,1
"POLR2L","RPS9",0.392,0.494,0.679
"POLR2L","ARPC1B",0.402,0.155,0.508
"POLR2L","ANAPC2",1,0.225,0.817
"POLR2L","YIF1B",NA,0.07,0.52
"RPS9","COX5A",0.506,0.234,0.336
"RPS9","ARPC1B",0.59,0.173,0.68
"RPS9","GSPT2",0.707,0.693,0.476
"RPS9","ANAPC2",1,0.289,0.607
"RPS9","ISYNA1",0.504,0.225,0.528
"SIX3","LHX2",1,0.677,NA
"TNFSF13","TNFRSF13B",0.815,0.541,0.425
"RABAC1","YIF1B",NA,NA,0.214
"ANAPC2","VPS28",1,0.327,0.565
"ANAPC2","PCGF6",1,0.252,0.776
