"symbol1","symbol2","MF","BP","CC"
"ABCA4","ABCB11",0.693,0.53,0.491
"ACADS","SAMM50",0,0.017,0.521
"ALAS2","HBD",0.466,0.375,0.187
"ALAS2","GNMT",0.613,0.249,0.321
"ARRB1","GNMT",0.192,0.375,0.925
"BCS1L","SAMM50",0.657,0.844,0.609
"CBL","CD79B",0.231,0.39,0.612
"CDC34","FBXL2",0.627,0.676,0.17
"CHRM1","LAMB2",0,0.165,0.005
"CHRM1","SP1",0,0.334,0.015
"CHRM1","F2RL3",0.983,0.559,0.614
"DYNC1I1","SPTBN2",0.099,0.721,0.337
"DYNC1I1","RILP",0.217,0.397,0.467
"IDH3B","PYCR1",0.441,0.489,0.846
"IDH3B","SAMM50",0,0.016,0.554
"IRAK2","PELI3",0.606,0.532,0.925
"LDLR","SNX17",0.228,0.392,0.575
"MYO1A","RAC3",NA,0.066,0.459
"POU2F1","SP1",0.656,0.664,0.599
"POU2F1","VDR",0.572,0.475,0.746
"PYCR1","SUPT5H",0.293,0.277,0.381
"PYCR1","ADSSL1",0.082,0.272,0.313
"RAC3","NRBP1",0.293,0.318,0.308
"RAC3","CLEC1B",0.257,0.236,0.882
"RAC3","PLEKHG5",0.31,0.418,0.381
"RAC3","ARHGAP10",0.257,0.587,0.925
"SPTBN2","SPTBN4",0.53,0.63,0.462
"SPTBN2","RILP",0.458,0.583,0.262
"UCHL1","HIST1H2BN",0.106,0.446,0.574
"HIST1H2AK","HIST1H2BN",0.944,0.82,0.737
"OR1E1","OR1J2",NA,0.984,0.882
"OR1E1","OR5C1",0.994,0.99,0.882
"LY6D","ABCB11",NA,NA,0.761
"MAP3K14","PELI3",0.695,0.429,0.925
"TXNRD2","SAMM50",0.657,0.016,0.524
"SLC35D2","B3GNT7",0,0.85,0.898
"OR1J2","OR5C1",NA,0.984,0.882
"DGCR8","CDT1",0.335,0.278,0.615
"PLEKHG5","ARHGAP10",0.489,0.604,0.925
"CDT1","LMNB2",0.657,NA,0.46
"DERL3","SERINC5",0,0.301,0.155
