"symbol1","symbol2","MF","BP","CC"
"ATP5G2","COX5A",NA,NA,NA
"ENTPD2","POLR2L",0.142,0.183,0.067
"FRG1","RPS9",0.143,0.369,0.2
"GLUD2","COX5A",0.184,0.397,0.286
"HCFC1","ANAPC2",0.095,0.22,0.233
"NFKBIB","POLR2L",0.03,0.22,0.227
"NFKBIB","S100A8",0.068,0.12,0.227
"POLR2L","RPS9",0.03,0.259,0.186
"POLR2L","ARPC1B",0.037,0.121,0.156
"POLR2L","ANAPC2",0.095,0.146,0.286
"POLR2L","YIF1B",NA,0,0.116
"RPS9","COX5A",0.035,0.183,0.124
"RPS9","ARPC1B",0.141,0.162,0.222
"RPS9","GSPT2",0.148,0.339,0.113
"RPS9","ANAPC2",0.095,0.22,0.162
"RPS9","ISYNA1",0.04,0.13,0.087
"SIX3","LHX2",0.258,0.258,NA
"TNFSF13","TNFRSF13B",0.095,0.387,0.022
"RABAC1","YIF1B",NA,NA,0.117
"ANAPC2","VPS28",0.095,0.269,0.136
"ANAPC2","PCGF6",0.095,0.198,0.31
