"symbol1","symbol2","MF","BP","CC"
"ABCA4","ABCB11",0.628,0.464,0.816
"ACADS","SAMM50",0.204,0,0.757
"ALAS2","HBD",0.538,0.315,0.419
"ALAS2","GNMT",0.676,0.248,0.714
"ARRB1","GNMT",0.501,0.479,1
"BCS1L","SAMM50",1,0.813,0.681
"CBL","CD79B",0.629,0.563,0.751
"CDC34","FBXL2",0.801,0.688,0.703
"CHRM1","LAMB2",0.113,0.451,0.402
"CHRM1","SP1",0.233,0.452,0.553
"CHRM1","F2RL3",1,0.681,0.862
"DYNC1I1","SPTBN2",0.218,0.747,0.552
"DYNC1I1","RILP",0.528,0.388,0.675
"IDH3B","PYCR1",0.344,0.291,0.954
"IDH3B","SAMM50",0.344,0,0.767
"IRAK2","PELI3",0.846,0.512,1
"LDLR","SNX17",0.53,0.36,0.798
"MYO1A","RAC3",NA,0.125,0.71
"POU2F1","SP1",0.806,0.675,0.777
"POU2F1","VDR",0.674,0.544,0.908
"PYCR1","SUPT5H",0.695,0.243,0.605
"PYCR1","ADSSL1",0.279,0.255,0.751
"RAC3","NRBP1",0.689,0.467,0.729
"RAC3","CLEC1B",0.676,0.443,1
"RAC3","PLEKHG5",0.428,0.498,0.709
"RAC3","ARHGAP10",0.65,0.663,1
"SPTBN2","SPTBN4",0.606,0.619,0.608
"SPTBN2","RILP",0.61,0.61,0.574
"UCHL1","HIST1H2BN",0.741,0.504,0.836
"HIST1H2AK","HIST1H2BN",1,0.847,0.906
"OR1E1","OR1J2",NA,1,1
"OR1E1","OR5C1",1,1,1
"LY6D","ABCB11",NA,NA,0.948
"MAP3K14","PELI3",0.822,0.406,1
"TXNRD2","SAMM50",1,0,0.759
"SLC35D2","B3GNT7",0,0.822,0.955
"OR1J2","OR5C1",NA,1,1
"DGCR8","CDT1",0.61,0.127,0.812
"PLEKHG5","ARHGAP10",0.618,0.664,1
"CDT1","LMNB2",1,NA,0.657
"DERL3","SERINC5",0.064,0.212,0.337
