"symbol1","symbol2","MF","BP","CC"
"ABCA4","ABCB11",0.462,0.336,0.156
"ACADS","SAMM50",0,0.034,0.209
"ALAS2","HBD",0.237,0.24,0.081
"ALAS2","GNMT",0.348,0.181,0.113
"ARRB1","GNMT",0.064,0.182,0.227
"BCS1L","SAMM50",0.095,0.51,0.307
"CBL","CD79B",0.067,0.192,0.23
"CDC34","FBXL2",0.227,0.305,0.054
"CHRM1","LAMB2",0,0.063,0.009
"CHRM1","SP1",0,0.18,0.015
"CHRM1","F2RL3",0.364,0.279,0.166
"DYNC1I1","SPTBN2",0.06,0.39,0.166
"DYNC1I1","RILP",0.071,0.247,0.21
"IDH3B","PYCR1",0.321,0.35,0.307
"IDH3B","SAMM50",0,0.034,0.22
"IRAK2","PELI3",0.196,0.317,0.227
"LDLR","SNX17",0.071,0.24,0.223
"MYO1A","RAC3",NA,0.035,0.223
"POU2F1","SP1",0.238,0.317,0.175
"POU2F1","VDR",0.218,0.219,0.244
"PYCR1","SUPT5H",0.071,0.188,0.155
"PYCR1","ADSSL1",0.078,0.188,0.109
"RAC3","NRBP1",0.074,0.147,0.085
"RAC3","CLEC1B",0.061,0.112,0.187
"RAC3","PLEKHG5",0.154,0.22,0.133
"RAC3","ARHGAP10",0.061,0.273,0.227
"SPTBN2","SPTBN4",0.289,0.308,0.217
"SPTBN2","RILP",0.219,0.318,0.127
"UCHL1","HIST1H2BN",0.046,0.216,0.156
"HIST1H2AK","HIST1H2BN",0.256,0.373,0.252
"OR1E1","OR1J2",NA,0.349,0.187
"OR1E1","OR5C1",0.456,0.407,0.187
"LY6D","ABCB11",NA,NA,0.175
"MAP3K14","PELI3",0.228,0.261,0.227
"TXNRD2","SAMM50",0.095,0.029,0.208
"SLC35D2","B3GNT7",0,0.559,0.326
"OR1J2","OR5C1",NA,0.349,0.187
"DGCR8","CDT1",0.119,0.222,0.177
"PLEKHG5","ARHGAP10",0.241,0.293,0.227
"CDT1","LMNB2",0.095,NA,0.19
"DERL3","SERINC5",0,0.198,0.091
