"symbol1"	"symbol2"	"BP"
"OSBPL7"	"MOSPD3"	NA
"PGLYRP1"	"DLG5"	0.348
"PGLYRP1"	"HSPBP1"	0.098
"SCTR"	"HTR4"	0.657
"SCTR"	"FSHR"	0.463
"SCTR"	"GNB1"	0.508
"SCTR"	"ADM2"	0.52
"SCTR"	"GNB2"	0.52
"SCTR"	"ADCY1"	0.458
"SCTR"	"P2RY11"	0.471
"SCTR"	"GPR20"	0.6
"PIGQ"	"PIGL"	0.782
"RTN4R"	"GNB1"	0.456
"RTN4R"	"HRAS"	0.577
"RTN4R"	"CAB39"	0.419
"RTN4R"	"DIRAS3"	0.368
"RTN4R"	"AKT1"	0.419
"RTN4R"	"GNAI2"	0.393
"RTN4R"	"DIRAS2"	NA
"RTN4R"	"EEF1G"	0.167
"RTN4R"	"TYRO3"	0.486
"RTN4R"	"RASL10B"	0.283
"RTN4R"	"GNB2"	0.266
"RTN4R"	"RTN2"	NA
"RTN4R"	"PPP3CC"	0.207
"RTN4R"	"SH3GL1"	0.55
"RTN4R"	"MCL1"	0.46
"PSMA4"	"EXOSC5"	0.454
"PSMA4"	"ACHE"	0.215
"PSMA4"	"NFKB2"	0.303
"PSMA4"	"PSMA7"	1
"PSMA4"	"UQCRQ"	0.286
"PSMA4"	"PSMC4"	0.812
"PSMA4"	"PPIB"	0.186
"PSMA4"	"PPP2R5A"	0.361
"PSMA4"	"CDC25A"	0.346
"PSMA4"	"RPN1"	0.559
"PSMA4"	"PLK1"	0.276
"PSMA4"	"TNF"	0.17
"PSMA4"	"RELB"	0.19
"PSMA4"	"PSMB4"	1
"PSMA4"	"ASNA1"	0.052
"PSMA4"	"DHH"	NA
"PSMA4"	"ANAPC2"	0.532
"PSMA4"	"PSME4"	0.727
"PSMA4"	"OAZ2"	0.476
"PSMA4"	"NFKBIB"	0.353
"GRN"	"HK3"	0.449
"GRN"	"AKT1"	0.32
"GRN"	"ITGA2B"	0.505
"GRN"	"IFI30"	0.465
"GRN"	"TNF"	0.336
"CD22"	"SELL"	0.54
"CD22"	"FFAR2"	0.447
"CD22"	"CD7"	0.565
"CD22"	"TNF"	0.383
"CD22"	"CD79A"	0.671
"CD22"	"SPN"	0.479
"CD22"	"CD72"	0
"CD22"	"TNFRSF13B"	0.535
"PSMC4"	"NFKB2"	0.416
