"symbol1" "symbol2" "CC"
"OSBPL7" "MOSPD3" NA
"PGLYRP1" "DLG5" 0.113
"PGLYRP1" "HSPBP1" 0.264
"SCTR" "HTR4" 0.587
"SCTR" "FSHR" 0.557
"SCTR" "GNB1" 0.478
"SCTR" "ADM2" 0
"SCTR" "GNB2" 0.379
"SCTR" "ADCY1" 0.568
"SCTR" "P2RY11" 0.696
"SCTR" "GPR20" 0.557
"PIGQ" "PIGL" 1
"RTN4R" "GNB1" 0.663
"RTN4R" "HRAS" 0.422
"RTN4R" "CAB39" 0.324
"RTN4R" "DIRAS3" NA
"RTN4R" "AKT1" 0.421
"RTN4R" "GNAI2" 0.503
"RTN4R" "DIRAS2" 1
"RTN4R" "EEF1G" 0.5
"RTN4R" "TYRO3" 0.544
"RTN4R" "RASL10B" NA
"RTN4R" "GNB2" 0.519
"RTN4R" "RTN2" 0.372
"RTN4R" "PPP3CC" 0.158
"RTN4R" "SH3GL1" 0.353
"RTN4R" "MCL1" 0.364
"PSMA4" "EXOSC5" 0.717
"PSMA4" "ACHE" 0.38
"PSMA4" "NFKB2" 0.694
"PSMA4" "PSMA7" 0.907
"PSMA4" "UQCRQ" 0.434
"PSMA4" "PSMC4" 0.753
"PSMA4" "PPIB" 0.54
"PSMA4" "PPP2R5A" 0.629
"PSMA4" "CDC25A" 0.702
"PSMA4" "RPN1" 0.478
"PSMA4" "PLK1" 0.555
"PSMA4" "TNF" 0.282
"PSMA4" "RELB" 0.678
"PSMA4" "PSMB4" 0.942
"PSMA4" "ASNA1" 0.666
"PSMA4" "DHH" NA
"PSMA4" "ANAPC2" 0.649
"PSMA4" "PSME4" 0.846
"PSMA4" "OAZ2" 0.66
"PSMA4" "NFKBIB" 1
"GRN" "HK3" 0.712
"GRN" "AKT1" 0.429
"GRN" "ITGA2B" 0.536
"GRN" "IFI30" 0.548
"GRN" "TNF" 0.46
"CD22" "SELL" 0.618
"CD22" "FFAR2" 0.451
"CD22" "CD7" 0.504
"CD22" "TNF" 0.797
"CD22" "CD79A" 0.631
"CD22" "SPN" 0.698
"CD22" "CD72" 0.451
"CD22" "TNFRSF13B" 1
"PSMC4" "NFKB2" 0.598
"PSMC4" "PSMA7" 0.832
"PSMC4" "PPP2R5A" 0.636
"PSMC4" "CDC25A" 0.609
"PSMC4" "PLK1" 0.487
"PSMC4" "UFD1L" NA
"PSMC4" "TNF" 0.271
"PSMC4" "RELB" 0.614
"PSMC4" "PSMB4" 0.774
"PSMC4" "DHH" NA
"PSMC4" "ANAPC2" 0.606
"PSMC4" "PSME4" 0.785
"PSMC4" "OAZ2" 0.55
"PSMC4" "NFKBIB" 1
"PSMC4" "FTSJ3" 0.437
"PSMC4" "LHX2" NA
"BCL3" "NFKB2" 0.771
"BCL3" "STAT3" 0.768
"BCL3" "AKT1" 0.8
"BCL3" "PLK1" 0.608
"BCL3" "RFXANK" 0.556
"BCL3" "TNF" 0.314
"BCL3" "HDAC3" 0.719
"BCL3" "RELB" 0.693
"PDZD4" "LAMA5" NA
"HBQ1" "HBZ" 0.8
"HBQ1" "ALAS2" 0.166
"HBQ1" "HBE1" 0.745
"HBQ1" "ECHS1" 0.158
"HBQ1" "TH" 0.163
"HBQ1" "HBD" 0.745
"HBQ1" "PAH" 0.468
"ITGB4" "KLC2" 0.36
"ITGB4" "HRAS" 0.262
"ITGB4" "VWF" 0.332
"ITGB4" "CHAD" 0.221
"ITGB4" "PRKCG" 0.219
"ITGB4" "AKT1" 0.385
"ITGB4" "ITGA2B" 0.538
"ITGB4" "LAMA5" 0.402
"ITGB4" "CRK" 0.327
"ITGB4" "EPPK1" 0.479
"ITGB4" "ACTN4" 0.482
"ITGB4" "COMP" 0.334
"ITGB4" "COL9A3" 0.316
"PPP1R15A" "PPP2R4" NA
"PPP1R15A" "PPP2R5A" 0.686
"PPP1R15A" "TSC2" 0.692
"PPP1R15A" "ZNF148" 0.513
"PPP1R15A" "KLF6" 0.49
"TFAP4" "SP1" 0.756
"TFAP4" "TPST2" 0.353
"TFAP4" "SALL2" 1
"THPO" "SPI1" 0
"THPO" "ACHE" 1
"THPO" "VWF" 1
"THPO" "GATA2" 0
"THPO" "SOS1" 0
"THPO" "STAT3" 0
"THPO" "PSMA7" 0.793
"THPO" "CSF3R" 0
"THPO" "STAT5A" 0
"THPO" "IL7R" 0
"THPO" "GP9" 0
"THPO" "IL6R" 1
"THPO" "CNTFR" 0.399
"THPO" "AKT1" 0
"THPO" "ITGA2B" 0.793
"THPO" "CXCR4" 0.793
"THPO" "ZFPM1" 0
"THPO" "PF4" 1
"SEMA4G" "OBSCN" 0.218
"PRRT1" "EPPK1" 1
"BCL7C" "SMARCD3" NA
"BCL7C" "VPS37C" NA
"NDUFB7" "NDUFB10" 0.926
"NDUFB7" "NDUFV1" 0.897
"NDUFB7" "UQCRC2" 0.852
"NDUFB7" "UQCRQ" 0.913
"NDUFB7" "COX5A" 0.87
"NDUFB7" "NDUFB11" 0.962
"NDUFB7" "ZNHIT1" 0.449
"NDUFB7" "ACAD9" 0.787
"NDUFB7" "NDUFS7" 0.847
"NDUFB7" "SDHC" 0.844
"NDUFB7" "COX7C" 0.915
"NDUFB7" "ATP5G1" NA
"NDUFB7" "NDUFA3" 0.962
"TIMM13" "CAB39" 0.309
"TIMM13" "CHCHD4" 0.806
"TIMM13" "TMPRSS9" NA
"TIMM13" "ATP5G1" NA
"TIMM13" "TIMM8A" 0.806
"PDXP" "ECE1" 0.4
"PDXP" "SH3GL1" 0.394
"PDXP" "MCL1" 0.49
"PDXP" "AMBP" 0.253
"PDXP" "COMP" 0.027
"PDXP" "TH" 0.513
"PDXP" "PPP2R4" NA
"PDXP" "NDP" 0.055
"PDXP" "TYRO3" 0.416
"PDXP" "TNFRSF10C" 0.32
"JOSD1" "TIMM8A" 0.29
"NIPSNAP1" "B3GAT3" 0.377
"NIPSNAP1" "CHCHD2" 1
"TXN2" "EEF2" 0.312
"TXN2" "GLRX" 0.348
"TXN2" "APEX2" 0.59
"TXN2" "CLPP" 0.761
"TXN2" "SEC61A1" 0.309
"TXN2" "RPL8" 0.272
"TXN2" "MDH2" 0.777
"TXN2" "TXNRD2" 0.777
"EFS" "CRK" 0.448
"GSS" "TXNRD2" 0.609
"GSS" "CNDP2" 0.858
"GSS" "GLRX" 1
"GSS" "GGT1" 0.62
"GSS" "ALOX5AP" 0.259
"GSS" "GSTM1" 0.721
"GSS" "GCLM" 0.549
"SRMS" "ILKAP" 0.563
"SRMS" "PPP3CC" 0.706
"SRMS" "CD79A" 0.445
"PQBP1" "SF3A2" 0.59
"PQBP1" "PCBP2" 0.693
"PQBP1" "GTF2F1" 0.627
"PQBP1" "POLR2L" 0.808
"PQBP1" "LSM2" 0.663
"PQBP1" "CPSF1" 0.787
"PQBP1" "XAB2" 0.561
"PQBP1" "CTNNBL1" 0.605
"PQBP1" "PCBP1" 0.728
"PQBP1" "LSM7" 0.653
"PQBP1" "DNM2" 0.28
"PCSK1N" "CPE" 1
"PCSK1N" "UTS2R" 0
"USP11" "MCM3AP" 0.878
"USP11" "RBM10" 0.735
"USP11" "USP5" 0.612
"ACP5" "CLCN7" 0.468
"ACP5" "NES" 0.29
"ACP5" "TNF" 0.388
"ACP5" "CD207" 0.387
"ACP5" "VANGL1" NA
"MT4" "MT1X" 0.875
"MMP15" "TNF" 1
"MMP15" "HLA-G" 1
"TSC2" "STK11" 0.716
"TSC2" "HRAS" 0.717
"TSC2" "EIF4EBP1" 0.555
"TSC2" "AKT1" 0.662
"TSC2" "CRTC2" 0.565
"TSC2" "PLK1" 0.436
"TSC2" "EEF2" 0.617
"TSC2" "PI3" 0.392
"TSC2" "CAMKK2" 0.488
"TSC2" "PPP2R4" NA
"TSC2" "FKBP1C" NA
"ZP2" "ZP3" 0.783
"ZP2" "FGF8" 1
"ZP2" "ALX4" 0.459
"MAZ" "HRAS" NA
"MAZ" "AKT1" NA
"CSK" "GNB1" 0.797
"CSK" "HRAS" 0.841
"CSK" "VWF" 0.573
"CSK" "STAT3" 0.675
"CSK" "HLA-DQA2" 0.523
"CSK" "ARRB2" 0.812
"CSK" "RHOG" 0.743
"CSK" "ILKAP" 0.536
"CSK" "PPP3CC" 0.608
"CSK" "ACTN4" 0.536
"CSK" "AKT1" 0.71
"CSK" "ITGA2B" 0.617
"CSK" "HLA-DRA" 0.535
"CSK" "HCK" 0.555
"CSK" "PPP2R4" NA
"CSK" "PLAUR" 0.46
"CSK" "DNM2" 0.53
"CSK" "CD79A" 0.522
"CSK" "PORCN" 0.423
"CSK" "ACTA1" 0.465
"CSK" "HLA-DRB1" 0.545
"CTSH" "BID" 0.35
"CTSH" "HLA-DRB1" 0.545
"CTSH" "HLA-DQA2" 0.443
"CTSH" "HLA-DRA" 0.569
"PYCRL" "PYCR2" NA
"PYCRL" "PRODH" NA
"EXOSC5" "RPL7" 0.635
"EXOSC5" "RPL27A" 0.471
"EXOSC5" "RPL11" 0.676
"EXOSC5" "RPLP2" 0.413
"EXOSC5" "RPS9" 0.668
"EXOSC5" "RPS2" 0.596
"EXOSC5" "RPL4" 0.623
"EXOSC5" "RPL36AL" 0.599
"EXOSC5" "RPL18" 0.597
"EXOSC5" "RPL15" 0.642
"EXOSC5" "RPL13A" 0.622
"EXOSC5" "MPHOSPH6" 0.852
"EXOSC5" "RPL41" 0.477
"EXOSC5" "ZFP36L1" 0.683
"EXOSC5" "RPLP0" 0.54
"EXOSC5" "RPL35" 0.601
"EXOSC5" "RPL30" 0.511
"EXOSC5" "RPL14" 0.428
"EXOSC5" "RPL32" 0.44
"EXOSC5" "KHSRP" 0.781
"EXOSC5" "KPNA6" 0.599
"EXOSC5" "RPL8" 0.376
"EXOSC5" "EXOSC7" 0.878
"EXOSC5" "EXOSC3" 1
"EXOSC5" "RPL10" 0.58
"EXOSC5" "RPL37" 0.485
"EXOSC5" "RPL37A" 0.578
"PAF1" "GTF2F1" 0.665
"PAF1" "POLR2L" 0.594
"PAF1" "CSNK2B" 0.562
"PAF1" "KLC2" 0.583
"PAF1" "KIAA0101" NA
"PAF1" "GTF2H4" 0.569
"PAF1" "IFIT2" 0.423
"RELB" "NFKB2" 0.714
"RELB" "PSMB4" 0.678
"RELB" "PSME4" 0.721
"RELB" "PSMA7" 0.64
"RELB" "STAT3" 0.707
"RELB" "TRAF5" 0.685
"RELB" "TNF" 0.11
"RELB" "NFKBIB" 1
"RELB" "AKT1" 0.81
"RELB" "ANXA5" 0.338
"RELB" "DAXX" 0.678
"RELB" "IRF3" 0.695
"RELB" "CORT" 0
"SF3A2" "RANGAP1" 0.378
"SF3A2" "AGPAT1" 0.269
"SF3A2" "LSM2" 0.783
"SF3A2" "PCBP2" 0.444
"SF3A2" "GTF2F1" 0.56
"SF3A2" "POLR2L" 0.56
"SF3A2" "RBM10" 0.519
"SF3A2" "EEF2" 0.452
"SF3A2" "CPSF1" 0.613
"SF3A2" "EIF4G3" 0.255
"SF3A2" "XAB2" 0.732
"SF3A2" "CTNNBL1" 0.718
"SF3A2" "LSM7" 0.824
"SF3A2" "PCBP1" 0.532
"FSD1" "SRF" 0.296
"FSD1" "MYOG" 0.235
"FSD1" "RPS2" 0.233
"CD79A" "SELL" 0.691
"CD79A" "SLC3A2" 0.613
"CD79A" "IL13" 0
"CD79A" "VWF" 0.223
"CD79A" "IL7R" 0.64
"CD79A" "CD7" 0.6
"CD79A" "AKT1" 0.438
"CD79A" "CXCR4" 0.62
"CD79A" "UNG" 0.139
"CD79A" "GGT1" 0.522
"CD79A" "COX5A" 0.348
"CD79A" "CD68" 0.644
"CD79A" "TNF" 0.691
"CD79A" "VAV1" 0.54
"CD79A" "SPN" 0.552
"CD79A" "CD72" 0.612
"CD79A" "HLA-DRB1" 0.665
"CD79A" "TNFRSF13B" 1
"CD79A" "CFP" 0.169
"CD79A" "MGAM" 0.605
"CD79A" "S100A8" 0.385
"CD79A" "AMBP" 0.492
"CD79A" "SOS1" 0.505
"LIM2" "GJA8" 0.729
"LIM2" "FTL" 0.194
"RABAC1" "RAB5C" 0.769
"DBP" "CEBPA" 1
"DBP" "BATF" 1
"MLL4" "HCFC1" NA
"MLL4" "HDAC3" NA
"COMP" "TNFRSF10C" 0
"COMP" "UNG" 0.179
"COMP" "HINT1" 0.508
"COMP" "TYRO3" 0.105
"COMP" "MICAL1" 0.044
"COMP" "FOXM1" 0.288
"COMP" "ITGA2B" 0.599
"COMP" "NES" 0.067
"COMP" "TH" 0.175
"COMP" "ECE1" 0.451
"COMP" "SH3GL1" 0
"COMP" "MCL1" 0.106
"COMP" "COL9A3" 0.787
"COMP" "NDP" 0.753
"COMP" "ZBTB32" 0.164
"COMP" "RAB5C" 0.572
"COMP" "TNIP1" 0.082
"COMP" "AMBP" 0.735
"HAMP" "GDF15" 0.611
"HAMP" "STAT3" 0
"HAMP" "TNF" 0.364
"HAMP" "FTL" 0.379
"DLX5" "FGF8" 0
"DLX5" "MSX1" 0.601
"DLX5" "WNT10B" 0
"MOSPD3" "OSBPL1A" NA
"MOSPD3" "ISYNA1" NA
"FIS1" "RHOT2" 0.757
"FIS1" "DNM2" 0.369
"FIS1" "ZNHIT1" 0.323
"C8G" "LCN1" 0.884
"C8G" "VTN" 0.755
"ACTA2" "MYL2" 0.349
"ACTA2" "RASL10B" NA
"ACTA2" "EGR1" 0.349
"ACTA2" "MYL6" 0.524
"ACTA2" "TMSB4X" 0.594
"ACTA2" "PRKCG" 0.408
"ACTA2" "ANXA5" 0.579
"ACTA2" "GSPT2" 0.346
"ACTA2" "RHOG" 0.614
"ACTA2" "DYNC1H1" 0.517
"ACTA2" "EEF2" 0.591
"ACTA2" "MYO18B" 0.379
"ACTA2" "ACTN4" 0.664
"ACTA2" "TNNT2" 0.349
"ACTA2" "HK3" 0.536
"ACTA2" "RPL14" 0.53
"ACTA2" "RPS23" 0.401
"ACTA2" "CALML5" 0.525
"ACTA2" "ARPC4" 0.539
"ACTA2" "VWF" 0.497
"ACTA2" "OBSCN" 0.305
"ACTA2" "TUBB" 0.614
"ACTA2" "SRF" 0.349
"ACTA2" "DIRAS3" NA
"ACTA2" "ARPC5" 0.556
"ACTA2" "RPL18" 0.359
"ACTA2" "AKT1" 0.556
