"symbol1"	"symbol2"	"BP"
"REM1"	"GSTZ1"	NA
"REM1"	"LRRC24"	NA
"REM1"	"ISLR2"	NA
"REM1"	"LRRK1"	NA
"REM1"	"PLEKHG5"	NA
"REM1"	"LRRC38"	NA
"CDC34"	"UBE2E3"	0.625
"CDC34"	"FBXL2"	0.701
"CDC34"	"CBL"	0.525
"CDC34"	"UBL4B"	0.134
"CDC34"	"ZNRF3"	0.626
"GSTZ1"	"EEF1D"	0.391
"GSTZ1"	"MPO"	0.286
"PCK2"	"CRTC2"	0.452
"PCK2"	"RETN"	0.264
"SLC17A7"	"GABBR2"	0.249
"AMH"	"INHBE"	0.489
"RETN"	"SP1"	0.321
"HOXA2"	"HIST1H2BN"	0.2
"SNX17"	"LDLR"	0.416
"TBX4"	"DUX4"	0.278
"ACADS"	"TXNRD2"	0.047
"F2RL3"	"ARRB1"	0.524
"F2RL3"	"AVPR1B"	0.559
"F2RL3"	"CHRM1"	0.6
"SHFM1"	"FHL2"	NA
"SHFM1"	"DYNC1I1"	NA
"SHFM1"	"NFKBIE"	NA
"IRAK2"	"PELI3"	0.555
"ITIH5"	"KIAA1549"	NA
"ADAMTS8"	"ADAMTS15"	NA
"USP37"	"UBL4B"	0.147
"USP37"	"RHPN1"	NA
"DPEP1"	"SAMM50"	0.085
"DGCR8"	"CDT1"	0.305
"SPTBN4"	"SPTBN2"	0.65
"SPTBN4"	"DYNC1I1"	0.313
"SPTBN4"	"CABP4"	0.343
"CBL"	"UBE2E3"	0.282
"CBL"	"LDLR"	0.431
"CBL"	"ARRB1"	0.605
"CBL"	"CD79B"	0.446
"CBL"	"CBLC"	0.727
"TRPV5"	"TRPM1"	0.569
"TRPV5"	"VDR"	0.195
"MAD1L1"	"PMF1"	0.545
"MAD1L1"	"CENPH"	0.336
"INHBE"	"BMPER"	0.562
"INHBE"	"TGFB2"	0.445
"ASGR1"	"CLEC1B"	0.163
"ASGR1"	"ITIH3"	0.565
"CBX4"	"HIST1H2BN"	0.259
"NFKBIE"	"CARD11"	0.714
"CENPH"	"HIST1H2BN"	0.586
"CENPH"	"PMF1"	0.068
"UCHL1"	"BCS1L"	0.068
"UCHL1"	"KRT4"	0.15
"MYO1A"	"RAC3"	0.075
"MYO1A"	"CABP4"	0.356
"EPB42"	"ALAS2"	NA
"EPB42"	"HBD"	NA
"CDT1"	"LMNB2"	NA
"RILP"	"HLA-DRA"	0.396
"RILP"	"SPTBN2"	0.605
"RILP"	"DYNC1I1"	0.414
"KCNAB3"	"KCNH6"	0.98
"RAC3"	"PLEKHG5"	0.453
"RAC3"	"ARHGAP10"	0.619
"CHRM1"	"AVPR1B"	0.486
"CHRM1"	"ARRB1"	0.521
"CHRM1"	"SP1"	0.387
"CHRM1"	"LAMB2"	0.22
"DNAI2"	"DYNC1I1"	0.492
"BRSK1"	"RIMS2"	0.634
"SPTBN2"	"DYNC1I1"	0.735
"SPTBN2"	"CABP4"	0.27
"SPTBN2"	"HLA-DRA"	0.532
"OR1E1"	"ARRB1"	0.273
"DYNC1I1"	"HLA-DRA"	0.499
"LPA"	"LDLR"	0.387
"FHL2"	"SP1"	0.614
"CABP4"	"UBL4B"	0.215
"CABP4"	"CACNA1E"	0.259
"IGLL1"	"CD79B"	0.678
"SP1"	"VDR"	0.613
"SP1"	"POU2F1"	0.686
"SP1"	"NR1H3"	0.515
"HIST1H2AK"	"HIST1H2BN"	0.83
"ALAS2"	"GNMT"	0.28
"ALAS2"	"HBD"	0.4
"UBL4B"	"UBE2E3"	0.063
"PDCD1"	"HLA-DRA"	0.487
"OR1J2"	"ARRB1"	1
"SAMM50"	"STK32A"	0.071
"TGFB2"	"ITIH3"	1
"DNTTIP1"	"WIBG"	NA
"OR5C1"	"ARRB1"	0.273
"ZNF593"	"MTG1"	0.224
"IDH3B"	"TXNRD2"	0.052
"LRRK1"	"CARD11"	0.482
"UBE2E3"	"ZNRF3"	0.51
"CD79B"	"CARD11"	0.567
"HIST1H2BN"	"SUPT5H"	0.289
"NR1H3"	"LDLR"	0.636
"EEF1D"	"SUPT5H"	0.362
"ARRB1"	"LDLR"	0.51
"ARRB1"	"OR7G1"	1
