"symbol1"	"symbol2"	"CC"
"ACHE"	"CAMK2A"	0.424
"ACHE"	"HAND1"	0.196
"ACP5"	"CD68"	0.487
"ACTA1"	"ACTA2"	0.713
"ACTA1"	"ACTN4"	0.596
"ACTA1"	"AKT1"	0.446
"ACTA1"	"ARF1"	0.485
"ACTA1"	"CSK"	0.465
"ACTA1"	"DDOST"	0.221
"ACTA1"	"EEF2"	0.439
"ACTA1"	"EIF4A2"	0.245
"ACTA1"	"EIF5A"	0.279
"ACTA1"	"HSPB1"	0.591
"ACTA1"	"LAMA5"	0.477
"ACTA1"	"PFDN1"	NA
"ACTA1"	"PGK1"	0.461
"ACTA1"	"RAPSN"	0.389
"ACTA1"	"RPL4"	0.465
"ACTA1"	"RPLP0"	0.426
"ACTA1"	"RPLP2"	0.471
"ACTA1"	"RPS9"	0.466
"ACTA1"	"TMSB4X"	0.465
"ACTA1"	"TNNI1"	0.499
"ACTA1"	"TNNI2"	0.506
"ACTA1"	"TPM2"	0.6
"ACTA1"	"TMSB4Y"	0.6
"ACTA1"	"GSPT2"	0.236
"ACTA1"	"CTNNBL1"	0.182
"ACTA1"	"TUBB"	0.652
"ACTA1"	"HIST1H2AA"	0.447
"ACTA1"	"TUBB2B"	0.449
"ACTA2"	"ACTN4"	0.664
"ACTA2"	"KLF6"	0.344
"ACTA2"	"EEF2"	0.591
"ACTA2"	"EIF5A"	0.427
"ACTA2"	"HSPB1"	0.617
"ACTA2"	"PGK1"	0.521
"ACTA2"	"RPL4"	0.559
"ACTA2"	"RPL7"	0.436
"ACTA2"	"RPLP0"	0.541
"ACTA2"	"RPLP2"	0.517
"ACTA2"	"RPS9"	0.561
"ACTA2"	"RPS23"	0.401
"ACTA2"	"SRF"	0.349
"ACTA2"	"TMSB4X"	0.594
"ACTA2"	"TPM2"	0.29
"ACTA2"	"RPL14"	0.53
"ACTA2"	"ARPC1B"	0.511
"ACTA2"	"GSPT2"	0.346
"ACTA2"	"PYCR2"	0.226
"ACTA2"	"TUBB"	0.614
"ACTA2"	"TUBB2B"	0.328
"ACTN4"	"AP2A1"	0.368
"ACTN4"	"AKT1"	0.658
"ACTN4"	"CAMK2A"	0.539
"ACTN4"	"CSK"	0.536
"ACTN4"	"CSNK2B"	0.69
"ACTN4"	"DNM2"	0.526
"ACTN4"	"EEF2"	0.699
"ACTN4"	"FAU"	NA
"ACTN4"	"GNB1"	0.51
"ACTN4"	"GNB2"	0.612
