"symbol1","symbol2"
"OSBPL7","MOSPD3"
"PGLYRP1","DLG5"
"PGLYRP1","HSPBP1"
"SCTR","HTR4"
"SCTR","FSHR"
"SCTR","GNB1"
"SCTR","ADM2"
"SCTR","GNB2"
"SCTR","ADCY1"
"SCTR","P2RY11"
"SCTR","GPR20"
"PIGQ","PIGL"
"RTN4R","GNB1"
"RTN4R","HRAS"
"RTN4R","CAB39"
"RTN4R","DIRAS3"
"RTN4R","AKT1"
"RTN4R","GNAI2"
"RTN4R","DIRAS2"
"RTN4R","EEF1G"
"RTN4R","TYRO3"
"RTN4R","RASL10B"
"RTN4R","GNB2"
"RTN4R","RTN2"
"RTN4R","PPP3CC"
"RTN4R","SH3GL1"
"RTN4R","MCL1"
"PSMA4","EXOSC5"
"PSMA4","ACHE"
"PSMA4","NFKB2"
"PSMA4","PSMA7"
"PSMA4","UQCRQ"
"PSMA4","PSMC4"
"PSMA4","PPIB"
"PSMA4","PPP2R5A"
"PSMA4","CDC25A"
"PSMA4","RPN1"
"PSMA4","PLK1"
"PSMA4","TNF"
"PSMA4","RELB"
"PSMA4","PSMB4"
"PSMA4","ASNA1"
"PSMA4","DHH"
"PSMA4","ANAPC2"
"PSMA4","PSME4"
"PSMA4","OAZ2"
"PSMA4","NFKBIB"
"GRN","HK3"
"GRN","AKT1"
"GRN","ITGA2B"
"GRN","IFI30"
"GRN","TNF"
"CD22","SELL"
"CD22","FFAR2"
"CD22","CD7"
"CD22","TNF"
"CD22","CD79A"
"CD22","SPN"
"CD22","CD72"
"CD22","TNFRSF13B"
"PSMC4","NFKB2"
"PSMC4","PSMA7"
"PSMC4","PPP2R5A"
"PSMC4","CDC25A"
"PSMC4","PLK1"
"PSMC4","UFD1L"
"PSMC4","TNF"
"PSMC4","RELB"
"PSMC4","PSMB4"
"PSMC4","DHH"
"PSMC4","ANAPC2"
"PSMC4","PSME4"
"PSMC4","OAZ2"
"PSMC4","NFKBIB"
"PSMC4","FTSJ3"
"PSMC4","LHX2"
"BCL3","NFKB2"
"BCL3","STAT3"
"BCL3","AKT1"
"BCL3","PLK1"
"BCL3","RFXANK"
"BCL3","TNF"
"BCL3","HDAC3"
"BCL3","RELB"
"PDZD4","LAMA5"
"HBQ1","HBZ"
"HBQ1","ALAS2"
"HBQ1","HBE1"
"HBQ1","ECHS1"
"HBQ1","TH"
"HBQ1","HBD"
"HBQ1","PAH"
"ITGB4","KLC2"
"ITGB4","HRAS"
"ITGB4","VWF"
"ITGB4","CHAD"
"ITGB4","PRKCG"
"ITGB4","AKT1"
"ITGB4","ITGA2B"
"ITGB4","LAMA5"
"ITGB4","CRK"
"ITGB4","EPPK1"
"ITGB4","ACTN4"
"ITGB4","COMP"
"ITGB4","COL9A3"
"PPP1R15A","PPP2R4"
"PPP1R15A","PPP2R5A"
"PPP1R15A","TSC2"
"PPP1R15A","ZNF148"
"PPP1R15A","KLF6"
"TFAP4","SP1"
"TFAP4","TPST2"
"TFAP4","SALL2"
"THPO","SPI1"
"THPO","ACHE"
"THPO","VWF"
"THPO","GATA2"
"THPO","SOS1"
"THPO","STAT3"
"THPO","PSMA7"
