"symbol1","symbol2"
"ACAD9","NACAP1"
"ACP5","GJA8"
"ACTA1","ARHGAP17"
"ACTA1","GEMIN7"
"ACTA2","ALX4"
"ACTA2","ARHGAP17"
"ACTA2","ATXN7L3"
"ACTA2","B3GAT3"
"ACTA2","BET1L"
"ACTA2","C1QL4"
"ACTA2","CAMK2A"
"ACTA2","CES2"
"ACTA2","EPHB3"
"ACTA2","FGF8"
"ACTA2","GCLM"
"ACTA2","GEMIN4"
"ACTA2","GEMIN7"
"ACTA2","HYI"
"ACTA2","KLHDC4"
"ACTA2","MFRP"
"ACTA2","NFATC4"
"ACTA2","NKX6-2"
"ACTA2","OGFR"
"ADAMTS13","KCNQ4"
"ADCY1","FSD1"
"AGPAT1","BET1L"
"AGPAT1","CALML5"
"AGPAT1","CNDP2"
"AGPAT1","CNGA2"
"AGPAT1","NKX6-2"
"AKT1","KRTAP6-2"
"ALAS2","APOL1"
"ALAS2","APOL3"
"ALAS2","C8G"
"ALAS2","CES2"
"ALAS2","CNDP2"
"ALAS2","CNGA2"
"ALAS2","CTSH"
"ALAS2","DNAJC9"
"ALAS2","ECE1"
"ALAS2","EIF4A2"
"ALAS2","FAU"
"ALAS2","GATA2"
"ALAS2","HBD"
"ALAS2","HBE1"
"ALAS2","ITGA2B"
"ALAS2","KIF25"
"ALAS2","KLHDC3"
"ALAS2","KLHDC4"
"ALAS2","LAMA5"
"ALAS2","LCE2C"
"ALAS2","LCN1"
"ALAS2","LSS"
"ALAS2","LST1"
"ALAS2","MICAL1"
"ALAS2","NDUFB11"
"ALAS2","OGFR"
"ALKBH7","B3GAT3"
"ALKBH7","LCE2A"
"ALKBH7","OR4C46"
"ALX4","ATXN7L3"
"ALX4","B3GAT3"
"ALX4","EPHB3"
"ALX4","FGF8"
"ALX4","HYI"
"ALX4","NUBP2"
"ANAPC2","B3GAT3"
"ANAPC2","HYI"
"ANXA5","NUP210"
"APLP1","HCFC1"
"APOL1","ARL16"
"APOL1","BAZ1B"
"APOL1","BCL9L"
"APOL1","CHCHD4"
"APOL1","CKS1B"
"APOL1","FADS3"
"APOL1","FSHR"
"APOL1","FTCD"
"APOL1","GATA2"
"APOL1","GSTM1"
"APOL1","HBD"
"APOL1","KIF25"
"APOL1","KLHDC3"
"APOL1","KLHDC4"
"APOL1","MARVELD1"
"APOL1","MICAL1"
"APOL1","MYBBP1A"
"APOL1","NDFIP1"
"APOL1","NDP"
"APOL1","NUBP2"
"APOL3","C1QL4"
"APOL3","CES2"
"APOL3","CLDN6"
"APOL3","CNDP2"
