"symbol1" "symbol2" "MF"
"OSBPL7" "MOSPD3" NA
"PGLYRP1" "DLG5" 0.05625
"PGLYRP1" "HSPBP1" 0.05
"SCTR" "HTR4" 0.49175
"SCTR" "FSHR" 0.462
"SCTR" "GNB1" 0.07975
"SCTR" "ADM2" 0.07775
"SCTR" "GNB2" 0.07975
"SCTR" "ADCY1" 0
"SCTR" "P2RY11" 0.432
"SCTR" "GPR20" 0.7205
"PIGQ" "PIGL" 0.108
"RTN4R" "GNB1" 0.27925
"RTN4R" "HRAS" 0.379
"RTN4R" "CAB39" 0.24225
"RTN4R" "DIRAS3" 0.688
"RTN4R" "AKT1" 0.32275
"RTN4R" "GNAI2" 0.35125
"RTN4R" "DIRAS2" 0.51725
"RTN4R" "EEF1G" 0.3025
"RTN4R" "TYRO3" 0.43825
"RTN4R" "RASL10B" NA
"RTN4R" "GNB2" 0.27925
"RTN4R" "RTN2" 0.688
"RTN4R" "PPP3CC" 0.26575
"RTN4R" "SH3GL1" 0.31525
"RTN4R" "MCL1" 0.272
"PSMA4" "EXOSC5" 0.53275
"PSMA4" "ACHE" 0.388
"PSMA4" "NFKB2" 0.2825
"PSMA4" "PSMA7" 0.6955
"PSMA4" "UQCRQ" 0.17225
"PSMA4" "PSMC4" 0.58625
"PSMA4" "PPIB" 0.3215
"PSMA4" "PPP2R5A" 0.39175
"PSMA4" "CDC25A" 0.47075
"PSMA4" "RPN1" 0.4215
"PSMA4" "PLK1" 0.36375
"PSMA4" "TNF" 0.35525
"PSMA4" "RELB" 0.28875
"PSMA4" "PSMB4" 0.76825
"PSMA4" "ASNA1" 0.417
"PSMA4" "DHH" 0.3895
"PSMA4" "ANAPC2" 0.688
"PSMA4" "PSME4" 0.314
"PSMA4" "OAZ2" 0.381
"PSMA4" "NFKBIB" 0.403
"GRN" "HK3" 0.021
"GRN" "AKT1" 0.33125
"GRN" "ITGA2B" 0.4685
"GRN" "IFI30" 0.404
"GRN" "TNF" 0.5485
"CD22" "SELL" 0.3625
"CD22" "FFAR2" 0.32075
"CD22" "CD7" 0.156
"CD22" "TNF" 0.41825
"CD22" "CD79A" 0.34875
"CD22" "SPN" 0.1585
"CD22" "CD72" 0.448
"CD22" "TNFRSF13B" 0.3235
"PSMC4" "NFKB2" 0.2825
"PSMC4" "PSMA7" 0.54975
"PSMC4" "PPP2R5A" 0.39175
"PSMC4" "CDC25A" 0.471
"PSMC4" "PLK1" 0.36375
"PSMC4" "UFD1L" NA
"PSMC4" "TNF" 0.35525
"PSMC4" "RELB" 0.28875
"PSMC4" "PSMB4" 0.58625
"PSMC4" "DHH" 0.3895
"PSMC4" "ANAPC2" 0.688
"PSMC4" "PSME4" 0.314
"PSMC4" "OAZ2" 0.381
"PSMC4" "NFKBIB" 0.403
"PSMC4" "FTSJ3" 0.36825
"PSMC4" "LHX2" 0.16175
"BCL3" "NFKB2" 0.31
"BCL3" "STAT3" 0.3655
"BCL3" "AKT1" 0.28025
"BCL3" "PLK1" 0.311
"BCL3" "RFXANK" 0.121
"BCL3" "TNF" 0.3725
"BCL3" "HDAC3" 0.41375
"BCL3" "RELB" 0.31075
"PDZD4" "LAMA5" 0
"HBQ1" "HBZ" 0.879
"HBQ1" "ALAS2" 0.47325
"HBQ1" "HBE1" 0.8305
"HBQ1" "ECHS1" 0.2735
"HBQ1" "TH" 0.32325
"HBQ1" "HBD" 0.8305
"HBQ1" "PAH" 0.34425
"ITGB4" "KLC2" 0.47525
"ITGB4" "HRAS" 0.31125
"ITGB4" "VWF" 0.449
"ITGB4" "CHAD" NA
"ITGB4" "PRKCG" 0.06175
"ITGB4" "AKT1" 0.26725
"ITGB4" "ITGA2B" 0.3955
"ITGB4" "LAMA5" 0.40175
