"symbol1"	"symbol2"	"MF"
"ABCA4"	"ABCB11"	0.622
"ACADS"	"SAMM50"	0.051
"ALAS2"	"HBD"	0.44625
"ALAS2"	"GNMT"	0.58725
"ARRB1"	"GNMT"	0.265
"BCS1L"	"SAMM50"	0.688
"CBL"	"CD79B"	0.3195
"CDC34"	"FBXL2"	0.60225
"CHRM1"	"LAMB2"	0.02825
"CHRM1"	"SP1"	0.05825
"CHRM1"	"F2RL3"	0.83675
"DYNC1I1"	"SPTBN2"	0.132
"DYNC1I1"	"RILP"	0.2865
"IDH3B"	"PYCR1"	0.38975
"IDH3B"	"SAMM50"	0.086
"IRAK2"	"PELI3"	0.5995
"LDLR"	"SNX17"	0.29625
"MYO1A"	"RAC3"	NA
"POU2F1"	"SP1"	0.60775
"POU2F1"	"VDR"	0.52475
"PYCR1"	"SUPT5H"	0.38125
"PYCR1"	"ADSSL1"	0.14675
"RAC3"	"NRBP1"	0.378
"RAC3"	"CLEC1B"	0.3485
"RAC3"	"PLEKHG5"	0.312
"RAC3"	"ARHGAP10"	0.342
"SPTBN2"	"SPTBN4"	0.49975
"SPTBN2"	"RILP"	0.44725
"UCHL1"	"HIST1H2BN"	0.28875
"HIST1H2AK"	"HIST1H2BN"	0.8
"OR1E1"	"OR1J2"	NA
"OR1E1"	"OR5C1"	0.8625
"LY6D"	"ABCB11"	NA
"MAP3K14"	"PELI3"	0.6355
"TXNRD2"	"SAMM50"	0.688
"SLC35D2"	"B3GNT7"	0
"OR1J2"	"OR5C1"	NA
"DGCR8"	"CDT1"	0.3805
"PLEKHG5"	"ARHGAP10"	0.47125
"CDT1"	"LMNB2"	0.688
"DERL3"	"SERINC5"	0.016
