"symbol1"	"symbol2"	"MF"
"ACHE"	"CAMK2A"	0.369
"ACHE"	"HAND1"	0.23
"ACP5"	"CD68"	NA
"ACTA1"	"ACTA2"	0.245
"ACTA1"	"ACTN4"	0.413
"ACTA1"	"AKT1"	0.341
"ACTA1"	"ARF1"	0.415
"ACTA1"	"CSK"	0.206
"ACTA1"	"DDOST"	0.203
"ACTA1"	"EEF2"	0.352
"ACTA1"	"EIF4A2"	0.308
"ACTA1"	"EIF5A"	0.352
"ACTA1"	"HSPB1"	0.291
"ACTA1"	"LAMA5"	0.273
"ACTA1"	"PFDN1"	0.067
"ACTA1"	"PGK1"	0.545
"ACTA1"	"RAPSN"	0.143
"ACTA1"	"RPL4"	0.517
"ACTA1"	"RPLP0"	0.488
"ACTA1"	"RPLP2"	0.426
"ACTA1"	"RPS9"	0.445
"ACTA1"	"TMSB4X"	0.443
"ACTA1"	"TNNI1"	0.657
"ACTA1"	"TNNI2"	0.402
"ACTA1"	"TPM2"	0.389
"ACTA1"	"TMSB4Y"	0.357
"ACTA1"	"GSPT2"	0.337
"ACTA1"	"CTNNBL1"	0.279
"ACTA1"	"TUBB"	0.612
"ACTA1"	"HIST1H2AA"	0.506
"ACTA1"	"TUBB2B"	0.648
"ACTA2"	"ACTN4"	0.245
"ACTA2"	"KLF6"	0.245
"ACTA2"	"EEF2"	0.99
"ACTA2"	"EIF5A"	0.245
"ACTA2"	"HSPB1"	0.99
"ACTA2"	"PGK1"	0.245
"ACTA2"	"RPL4"	0.245
"ACTA2"	"RPL7"	0.245
"ACTA2"	"RPLP0"	0.245
"ACTA2"	"RPLP2"	0.245
"ACTA2"	"RPS9"	0.245
"ACTA2"	"RPS23"	0.245
"ACTA2"	"SRF"	0.245
"ACTA2"	"TMSB4X"	0.773
"ACTA2"	"TPM2"	0.169
"ACTA2"	"RPL14"	0.245
"ACTA2"	"ARPC1B"	0.245
"ACTA2"	"GSPT2"	0.245
"ACTA2"	"PYCR2"	0.245
"ACTA2"	"TUBB"	0.593
"ACTA2"	"TUBB2B"	0.245
"ACTN4"	"AP2A1"	0.271
"ACTN4"	"AKT1"	0.332
"ACTN4"	"CAMK2A"	0.319
"ACTN4"	"CSK"	0.258
"ACTN4"	"CSNK2B"	0.488
"ACTN4"	"DNM2"	0.422
"ACTN4"	"EEF2"	0.464
"ACTN4"	"FAU"	0.959
"ACTN4"	"GNB1"	0.312
"ACTN4"	"GNB2"	0.312
"ACTN4"	"MDH2"	0.249
"ACTN4"	"MSN"	0.434
"ACTN4"	"MYL6"	0.18
"ACTN4"	"PF4"	0.345
"ACTN4"	"PGK1"	0.331
"ACTN4"	"RAB5C"	0.331
"ACTN4"	"RPL4"	0.38
"ACTN4"	"RPL7"	0.51
"ACTN4"	"RPL8"	0.249
"ACTN4"	"RPL27A"	0.38
"ACTN4"	"RPLP2"	0.204
"ACTN4"	"RPN1"	0.38
"ACTN4"	"SET"	0.192
"ACTN4"	"SPARC"	0.273
"ACTN4"	"TMSB4X"	0.484
"ACTN4"	"TNNI2"	0.378
"ACTN4"	"TNNT3"	0.354
"ACTN4"	"TPM2"	0.485
"ACTN4"	"TSC2"	0.283
"ACTN4"	"VEGFB"	0.324
"ACTN4"	"VWF"	0.446
"ACTN4"	"SLC9A3R2"	0.352
"ACTN4"	"ARPC1B"	0.375
"ACTN4"	"TRIM3"	0.203
"ACTN4"	"RPL13A"	0.281
"ACTN4"	"TUBB"	0.375
"ADAR"	"EGR1"	0.337
"ADAR"	"IFIT2"	0.55
"ADAR"	"IRF2"	0.333
"ADAR"	"IRF3"	0.314
"ADAR"	"IRF7"	0.362
"ADAR"	"NONO"	0.431
"ADAR"	"NPM1"	0.285
"ADAR"	"PCBP1"	0.526
"ADAR"	"PSMB4"	0.356
"ADAR"	"RPL11"	0.458
"ADAR"	"RPS2"	0.443
"ADAR"	"RPL35"	0.425
"ADCY1"	"FSHR"	0
"ADCY1"	"GNAI2"	0.079
"ADCY1"	"GNB2"	0.092
