"symbol1"	"symbol2"	"CC"
"REM1"	"GSTZ1"	0.022
"REM1"	"LRRC24"	0
"REM1"	"ISLR2"	0.022
"REM1"	"LRRK1"	0.022
"REM1"	"PLEKHG5"	0.022
"REM1"	"LRRC38"	0.187
"CDC34"	"UBE2E3"	0.222
"CDC34"	"FBXL2"	0.054
"CDC34"	"CBL"	0.098
"CDC34"	"UBL4B"	NA
"CDC34"	"ZNRF3"	0.022
"GSTZ1"	"EEF1D"	0.157
"GSTZ1"	"MPO"	0.102
"PCK2"	"CRTC2"	0.123
"PCK2"	"RETN"	0.11
"SLC17A7"	"GABBR2"	0.153
"AMH"	"INHBE"	0.259
"RETN"	"SP1"	0.095
"HOXA2"	"HIST1H2BN"	0.106
"SNX17"	"LDLR"	0.223
"TBX4"	"DUX4"	NA
"ACADS"	"TXNRD2"	0.242
"F2RL3"	"ARRB1"	0.076
"F2RL3"	"AVPR1B"	0.175
"F2RL3"	"CHRM1"	0.166
"SHFM1"	"FHL2"	NA
"SHFM1"	"DYNC1I1"	NA
"SHFM1"	"NFKBIE"	NA
"IRAK2"	"PELI3"	0.227
"ITIH5"	"KIAA1549"	NA
"ADAMTS8"	"ADAMTS15"	NA
"USP37"	"UBL4B"	NA
"USP37"	"RHPN1"	0.046
"DPEP1"	"SAMM50"	0.146
"DGCR8"	"CDT1"	0.177
"SPTBN4"	"SPTBN2"	0.217
"SPTBN4"	"DYNC1I1"	0.143
"SPTBN4"	"CABP4"	0.202
"CBL"	"UBE2E3"	0.097
"CBL"	"LDLR"	0.202
"CBL"	"ARRB1"	0.184
"CBL"	"CD79B"	0.23
"CBL"	"CBLC"	0.237
"TRPV5"	"TRPM1"	0.256
"TRPV5"	"VDR"	0.019
"MAD1L1"	"PMF1"	0.259
"MAD1L1"	"CENPH"	0.248
"INHBE"	"BMPER"	0.259
"INHBE"	"TGFB2"	0.259
"ASGR1"	"CLEC1B"	0.187
"ASGR1"	"ITIH3"	0.013
"CBX4"	"HIST1H2BN"	0.172
"NFKBIE"	"CARD11"	0.103
"CENPH"	"HIST1H2BN"	0.221
"CENPH"	"PMF1"	0.271
"UCHL1"	"BCS1L"	0.113
"UCHL1"	"KRT4"	0.12
"MYO1A"	"RAC3"	0.223
"MYO1A"	"CABP4"	0.089
"EPB42"	"ALAS2"	0.074
"EPB42"	"HBD"	0.046
"CDT1"	"LMNB2"	0.19
"RILP"	"HLA-DRA"	0.274
"RILP"	"SPTBN2"	0.127
"RILP"	"DYNC1I1"	0.21
"KCNAB3"	"KCNH6"	0.187
"RAC3"	"PLEKHG5"	0.133
"RAC3"	"ARHGAP10"	0.227
"CHRM1"	"AVPR1B"	0.169
"CHRM1"	"ARRB1"	0.08
"CHRM1"	"SP1"	0.015
"CHRM1"	"LAMB2"	0.009
"DNAI2"	"DYNC1I1"	0.292
"BRSK1"	"RIMS2"	0.334
"SPTBN2"	"DYNC1I1"	0.166
"SPTBN2"	"CABP4"	0.127
"SPTBN2"	"HLA-DRA"	0.136
"OR1E1"	"ARRB1"	0.187
"DYNC1I1"	"HLA-DRA"	0.175
"LPA"	"LDLR"	0.028
"FHL2"	"SP1"	0.132
"CABP4"	"UBL4B"	NA
"CABP4"	"CACNA1E"	0.022
"IGLL1"	"CD79B"	0.272
"SP1"	"VDR"	0.193
"SP1"	"POU2F1"	0.175
"SP1"	"NR1H3"	0.225
"HIST1H2AK"	"HIST1H2BN"	0.252
"ALAS2"	"GNMT"	0.113
"ALAS2"	"HBD"	0.081
"UBL4B"	"UBE2E3"	NA
"PDCD1"	"HLA-DRA"	0.187
"OR1J2"	"ARRB1"	0.187
"SAMM50"	"STK32A"	NA
"TGFB2"	"ITIH3"	0.245
"DNTTIP1"	"WIBG"	NA
"OR5C1"	"ARRB1"	0.187
"ZNF593"	"MTG1"	0.192
"IDH3B"	"TXNRD2"	0.249
"LRRK1"	"CARD11"	0.11
"UBE2E3"	"ZNRF3"	0.022
"CD79B"	"CARD11"	0.193
"HIST1H2BN"	"SUPT5H"	0.167
"NR1H3"	"LDLR"	0.11
"EEF1D"	"SUPT5H"	0.139
"ARRB1"	"LDLR"	0.201
"ARRB1"	"OR7G1"	0.187
