"symbol1"	"symbol2"	"BP"
"OSBPL7"	"MOSPD3"	NA
"PGLYRP1"	"DLG5"	0.312
"PGLYRP1"	"HSPBP1"	0.024
"SCTR"	"HTR4"	0.739
"SCTR"	"FSHR"	0.459
"SCTR"	"GNB1"	0.531
"SCTR"	"ADM2"	0.633
"SCTR"	"GNB2"	0.611
"SCTR"	"ADCY1"	0.446
"SCTR"	"P2RY11"	0.509
"SCTR"	"GPR20"	0.638
"PIGQ"	"PIGL"	0.761
"RTN4R"	"GNB1"	0.487
"RTN4R"	"HRAS"	0.583
"RTN4R"	"CAB39"	0.424
"RTN4R"	"DIRAS3"	0.323
"RTN4R"	"AKT1"	0.44
"RTN4R"	"GNAI2"	0.469
"RTN4R"	"DIRAS2"	NA
"RTN4R"	"EEF1G"	0.142
"RTN4R"	"TYRO3"	0.502
"RTN4R"	"RASL10B"	0.141
"RTN4R"	"GNB2"	0.308
"RTN4R"	"RTN2"	NA
"RTN4R"	"PPP3CC"	0.129
"RTN4R"	"SH3GL1"	0.582
"RTN4R"	"MCL1"	0.427
"PSMA4"	"EXOSC5"	0.376
"PSMA4"	"ACHE"	0.207
"PSMA4"	"NFKB2"	0.393
"PSMA4"	"PSMA7"	1
"PSMA4"	"UQCRQ"	0.133
"PSMA4"	"PSMC4"	0.803
"PSMA4"	"PPIB"	0.118
"PSMA4"	"PPP2R5A"	0.324
"PSMA4"	"CDC25A"	0.368
"PSMA4"	"RPN1"	0.627
"PSMA4"	"PLK1"	0.282
"PSMA4"	"TNF"	0.156
"PSMA4"	"RELB"	0.242
"PSMA4"	"PSMB4"	1
"PSMA4"	"ASNA1"	0
"PSMA4"	"DHH"	NA
"PSMA4"	"ANAPC2"	0.466
"PSMA4"	"PSME4"	0.74
"PSMA4"	"OAZ2"	0.438
"PSMA4"	"NFKBIB"	0.522
"GRN"	"HK3"	0.569
"GRN"	"AKT1"	0.45
"GRN"	"ITGA2B"	0.585
"GRN"	"IFI30"	0.458
"GRN"	"TNF"	0.426
"CD22"	"SELL"	0.551
"CD22"	"FFAR2"	0.379
"CD22"	"CD7"	0.552
"CD22"	"TNF"	0.322
"CD22"	"CD79A"	0.591
"CD22"	"SPN"	0.476
"CD22"	"CD72"	0.31
