"symbol1"	"symbol2"	"BP"
"ACHE"	"CAMK2A"	0.454
"ACHE"	"HAND1"	0.39
"ACP5"	"CD68"	0.053
"ACTA1"	"ACTA2"	0.744
"ACTA1"	"ACTN4"	0.394
"ACTA1"	"AKT1"	0.325
"ACTA1"	"ARF1"	0.183
"ACTA1"	"CSK"	0.22
"ACTA1"	"DDOST"	0.119
"ACTA1"	"EEF2"	0.232
"ACTA1"	"EIF4A2"	0.207
"ACTA1"	"EIF5A"	0.186
"ACTA1"	"HSPB1"	0.363
"ACTA1"	"LAMA5"	0.395
"ACTA1"	"PFDN1"	NA
"ACTA1"	"PGK1"	0.385
"ACTA1"	"RAPSN"	0.038
"ACTA1"	"RPL4"	0.221
"ACTA1"	"RPLP0"	0.292
"ACTA1"	"RPLP2"	0.221
"ACTA1"	"RPS9"	0.308
"ACTA1"	"TMSB4X"	0.378
"ACTA1"	"TNNI1"	0.672
"ACTA1"	"TNNI2"	0.787
"ACTA1"	"TPM2"	0.623
"ACTA1"	"TMSB4Y"	0.385
"ACTA1"	"GSPT2"	0.247
"ACTA1"	"CTNNBL1"	0.331
"ACTA1"	"TUBB"	0.131
"ACTA1"	"HIST1H2AA"	0.415
"ACTA1"	"TUBB2B"	0.365
"ACTA2"	"ACTN4"	0.354
"ACTA2"	"KLF6"	0.587
"ACTA2"	"EEF2"	0.348
"ACTA2"	"EIF5A"	0.226
"ACTA2"	"HSPB1"	0.461
"ACTA2"	"PGK1"	0.371
"ACTA2"	"RPL4"	0.278
"ACTA2"	"RPL7"	0.28
"ACTA2"	"RPLP0"	0.285
"ACTA2"	"RPLP2"	0.278
"ACTA2"	"RPS9"	0.33
"ACTA2"	"RPS23"	0.28
"ACTA2"	"SRF"	0.502
"ACTA2"	"TMSB4X"	0.384
"ACTA2"	"TPM2"	0.375
"ACTA2"	"RPL14"	0.272
"ACTA2"	"ARPC1B"	0.214
"ACTA2"	"GSPT2"	0.291
"ACTA2"	"PYCR2"	0.224
"ACTA2"	"TUBB"	0.124
"ACTA2"	"TUBB2B"	0.278
"ACTN4"	"AP2A1"	0.364
"ACTN4"	"AKT1"	0.485
