"symbol1"	"symbol2"	"CC"
"ACHE"	"CAMK2A"	0.3875
"ACHE"	"HAND1"	0.255
"ACP5"	"CD68"	0.42075
"ACTA1"	"ACTA2"	0.62025
"ACTA1"	"ACTN4"	0.52225
"ACTA1"	"AKT1"	0.41325
"ACTA1"	"ARF1"	0.43925
"ACTA1"	"CSK"	0.41725
"ACTA1"	"DDOST"	0.2515
"ACTA1"	"EEF2"	0.4
"ACTA1"	"EIF4A2"	0.23825
"ACTA1"	"EIF5A"	0.28
"ACTA1"	"HSPB1"	0.50925
"ACTA1"	"LAMA5"	0.41925
"ACTA1"	"PFDN1"	NA
"ACTA1"	"PGK1"	0.4085
"ACTA1"	"RAPSN"	0.3615
"ACTA1"	"RPL4"	0.41825
"ACTA1"	"RPLP0"	0.3905
"ACTA1"	"RPLP2"	0.418
"ACTA1"	"RPS9"	0.4205
"ACTA1"	"TMSB4X"	0.41475
"ACTA1"	"TNNI1"	0.45825
"ACTA1"	"TNNI2"	0.46825
"ACTA1"	"TPM2"	0.543
"ACTA1"	"TMSB4Y"	0.49275
"ACTA1"	"GSPT2"	0.22925
"ACTA1"	"CTNNBL1"	0.20875
"ACTA1"	"TUBB"	0.56
"ACTA1"	"HIST1H2AA"	0.39925
"ACTA1"	"TUBB2B"	0.4195
"ACTA2"	"ACTN4"	0.547
"ACTA2"	"KLF6"	0.34225
"ACTA2"	"EEF2"	0.50425
"ACTA2"	"EIF5A"	0.3835
"ACTA2"	"HSPB1"	0.5195
"ACTA2"	"PGK1"	0.47225
"ACTA2"	"RPL4"	0.4835
"ACTA2"	"RPL7"	0.39675
"ACTA2"	"RPLP0"	0.4715
"ACTA2"	"RPLP2"	0.465
"ACTA2"	"RPS9"	0.4875
"ACTA2"	"RPS23"	0.37875
"ACTA2"	"SRF"	0.33275
"ACTA2"	"TMSB4X"	0.4975
"ACTA2"	"TPM2"	0.2835
"ACTA2"	"RPL14"	0.4715
"ACTA2"	"ARPC1B"	0.44675
"ACTA2"	"GSPT2"	0.3235
"ACTA2"	"PYCR2"	0.239
"ACTA2"	"TUBB"	0.5185
"ACTA2"	"TUBB2B"	0.31825
"ACTN4"	"AP2A1"	0.3615
"ACTN4"	"AKT1"	0.54525
"ACTN4"	"CAMK2A"	0.46775
"ACTN4"	"CSK"	0.46675
"ACTN4"	"CSNK2B"	0.5695
"ACTN4"	"DNM2"	0.47025
"ACTN4"	"EEF2"	0.5805
"ACTN4"	"FAU"	NA
"ACTN4"	"GNB1"	0.45675
"ACTN4"	"GNB2"	0.54325
"ACTN4"	"MDH2"	0.449
"ACTN4"	"MSN"	0.59025
"ACTN4"	"MYL6"	0.49675
"ACTN4"	"PF4"	0.49225
"ACTN4"	"PGK1"	0.43425
"ACTN4"	"RAB5C"	0.4055
"ACTN4"	"RPL4"	0.615
"ACTN4"	"RPL7"	0.53575
"ACTN4"	"RPL8"	0.4105
"ACTN4"	"RPL27A"	0.3805
"ACTN4"	"RPLP2"	0.53975
"ACTN4"	"RPN1"	0.34775
"ACTN4"	"SET"	0.518
"ACTN4"	"SPARC"	0.53475
"ACTN4"	"TMSB4X"	0.57575
"ACTN4"	"TNNI2"	0.434
"ACTN4"	"TNNT3"	0.355
"ACTN4"	"TPM2"	0.38725
"ACTN4"	"TSC2"	0.453
"ACTN4"	"VEGFB"	0.4375
"ACTN4"	"VWF"	0.49475
"ACTN4"	"SLC9A3R2"	0.40875
"ACTN4"	"ARPC1B"	0.5785
"ACTN4"	"TRIM3"	0.69175
"ACTN4"	"RPL13A"	0.54875
"ACTN4"	"TUBB"	0.57175
"ADAR"	"EGR1"	0.61175
"ADAR"	"IFIT2"	0.41625
"ADAR"	"IRF2"	0.4785
"ADAR"	"IRF3"	0.59975
"ADAR"	"IRF7"	0.6
"ADAR"	"NONO"	0.58125
"ADAR"	"NPM1"	0.58175
"ADAR"	"PCBP1"	0.60075
"ADAR"	"PSMB4"	0.505
"ADAR"	"RPL11"	0.60225
"ADAR"	"RPS2"	0.55975
"ADAR"	"RPL35"	0.59175
"ADCY1"	"FSHR"	0.54375
"ADCY1"	"GNAI2"	0.58675
"ADCY1"	"GNB2"	0.5825
"ADCY1"	"GRM4"	0.6615
"ADCY1"	"HRAS"	0.5875
"ADCY1"	"HTR4"	0.60825
"ADCY1"	"NPY"	0.47875
"ADCY1"	"SCTR"	0.4855
"ADCY1"	"CXCR4"	0.5475
"ADCY1"	"ADM2"	0.65475
"ADCY1"	"NPW"	0.65475
"AP2A1"	"ARRB2"	0.63425
"AP2A1"	"CAMK2A"	0.55875
"AP2A1"	"CD22"	0.48075
"AP2A1"	"CRK"	0.4285
"AP2A1"	"CSNK2B"	0.4785
"AP2A1"	"DNM2"	0.51575
"AP2A1"	"EEF2"	0.50675
"AP2A1"	"EIF5A"	0.4755
"AP2A1"	"HLA-DRB1"	0.65775
"AP2A1"	"PPP3CC"	0.3495
"AP2A1"	"RAB5B"	0.61875
"AP2A1"	"RAB5C"	0.60975
"AP2A1"	"RPN1"	0.47425
"AP2A1"	"RPS9"	0.4515
"AP2A1"	"RAB11B"	0.60375
"AP2A1"	"PIP5K1C"	0.4605
"AP2A1"	"RPL13A"	0.4065
"AP2A1"	"BIN2"	0.4605
"AP2A1"	"EPN3"	0.50525
"AKT1"	"ARF1"	0.55975
"AKT1"	"ARRB2"	0.6485
"AKT1"	"BAD"	0.42275
"AKT1"	"ZFP36L1"	0.5975
"AKT1"	"CAMK2A"	0.574
"AKT1"	"CRK"	0.652
"AKT1"	"CSK"	0.5825
"AKT1"	"DDOST"	0.5455
"AKT1"	"EEF2"	0.60025
"AKT1"	"EGR1"	0.553
"AKT1"	"EIF4EBP1"	0.44625
"AKT1"	"FOXM1"	0.7955
"AKT1"	"FLII"	0.587
"AKT1"	"GATA2"	0.553
"AKT1"	"GNAI2"	0.648
"AKT1"	"GNB2"	0.506
"AKT1"	"GYS1"	0.4335
"AKT1"	"HRAS"	0.53925
"AKT1"	"HSPB1"	0.5835
"AKT1"	"IRF3"	0.597
"AKT1"	"ITGA2B"	0.39675
"AKT1"	"ITGB4"	0.36475
"AKT1"	"MCL1"	0.56075
"AKT1"	"MEF2D"	0.5195
"AKT1"	"MSN"	0.4875
"AKT1"	"NONO"	0.52675
"AKT1"	"NPM1"	0.64425
"AKT1"	"PCBP1"	0.645
"AKT1"	"SERPINB5"	0.35425
"AKT1"	"PLK1"	0.59725
"AKT1"	"PPP2R5A"	0.6
"AKT1"	"PSMA7"	0.5745
"AKT1"	"PSMB4"	0.59825
"AKT1"	"PSMC4"	0.55425
"AKT1"	"RPL7"	0.5775
"AKT1"	"RPS2"	0.60975
"AKT1"	"RPS9"	0.6325
"AKT1"	"SDHC"	0.3815
"AKT1"	"SOS1"	0.523
"AKT1"	"ST14"	0.34625
"AKT1"	"STAT3"	0.65975
"AKT1"	"STAT5A"	0.5205
"AKT1"	"STK11"	0.63375
"AKT1"	"TNF"	0.379
"AKT1"	"TPM2"	0.451
"AKT1"	"TSC2"	0.5315
"AKT1"	"NCK2"	0.4745
"AKT1"	"PIAS1"	0.4835
"AKT1"	"KHSRP"	0.574
"AKT1"	"HDAC3"	0.6455
"AKT1"	"SPHK1"	0.523
"AKT1"	"NUDC"	0.564
"AKT1"	"PLEKHO1"	NA
"AKT1"	"SYTL1"	0.456
"AKT1"	"RASL10B"	NA
"AKT1"	"TUBB"	0.54675
"ALAS2"	"SARDH"	0.746
"ALAS2"	"HBD"	0.23625
"ALAS2"	"LSS"	0.31175
"ALAS2"	"MDH2"	0.6745
"ALAS2"	"NDUFV1"	0.73475
"ALAS2"	"FIS1"	0.54975
"ALOX5AP"	"CD53"	0.3865
"ALOX5AP"	"CD68"	0.51075
"ALOX5AP"	"HLA-DRB1"	0.4535
"ALOX5AP"	"PLP2"	0.65025
"ALOX5AP"	"S100A6"	0.47325
"ALOX5AP"	"TBXAS1"	0.74825
