"symbol1"	"symbol2"	"CC"
"REM1"	"GSTZ1"	0.631
"REM1"	"LRRC24"	0.554
"REM1"	"ISLR2"	0.468
"REM1"	"LRRK1"	0.631
"REM1"	"PLEKHG5"	0.76
"REM1"	"LRRC38"	0.861
"CDC34"	"UBE2E3"	0.945
"CDC34"	"FBXL2"	0.703
"CDC34"	"CBL"	0.631
"CDC34"	"UBL4B"	NA
"CDC34"	"ZNRF3"	0.604
"GSTZ1"	"EEF1D"	0.776
"GSTZ1"	"MPO"	0.655
"PCK2"	"CRTC2"	0.756
"PCK2"	"RETN"	0.488
"SLC17A7"	"GABBR2"	0.553
"AMH"	"INHBE"	1
"RETN"	"SP1"	0.511
"HOXA2"	"HIST1H2BN"	0.836
"SNX17"	"LDLR"	0.798
"TBX4"	"DUX4"	NA
"ACADS"	"TXNRD2"	0.896
"F2RL3"	"ARRB1"	0.689
"F2RL3"	"AVPR1B"	0.851
"F2RL3"	"CHRM1"	0.862
"SHFM1"	"FHL2"	NA
"SHFM1"	"DYNC1I1"	NA
"SHFM1"	"NFKBIE"	NA
"IRAK2"	"PELI3"	1
"ITIH5"	"KIAA1549"	NA
"ADAMTS8"	"ADAMTS15"	NA
"USP37"	"UBL4B"	NA
"USP37"	"RHPN1"	0.72
"DPEP1"	"SAMM50"	0.688
"DGCR8"	"CDT1"	0.812
"SPTBN4"	"SPTBN2"	0.608
"SPTBN4"	"DYNC1I1"	0.589
"SPTBN4"	"CABP4"	0.574
"CBL"	"UBE2E3"	0.595
"CBL"	"LDLR"	0.643
"CBL"	"ARRB1"	0.747
"CBL"	"CD79B"	0.751
"CBL"	"CBLC"	0.791
"TRPV5"	"TRPM1"	0.939
"TRPV5"	"VDR"	0.534
"MAD1L1"	"PMF1"	0.681
"MAD1L1"	"CENPH"	0.703
"INHBE"	"BMPER"	1
"INHBE"	"TGFB2"	1
"ASGR1"	"CLEC1B"	1
"ASGR1"	"ITIH3"	0.447
"CBX4"	"HIST1H2BN"	0.763
"NFKBIE"	"CARD11"	0.741
"CENPH"	"HIST1H2BN"	0.875
"CENPH"	"PMF1"	0.88
"UCHL1"	"BCS1L"	0.655
"UCHL1"	"KRT4"	0.73
"MYO1A"	"RAC3"	0.71
"MYO1A"	"CABP4"	0.441
"EPB42"	"ALAS2"	0.589
"EPB42"	"HBD"	0.593
"CDT1"	"LMNB2"	0.657
"RILP"	"HLA-DRA"	0.674
"RILP"	"SPTBN2"	0.574
"RILP"	"DYNC1I1"	0.675
"KCNAB3"	"KCNH6"	1
"RAC3"	"PLEKHG5"	0.709
"RAC3"	"ARHGAP10"	1
"CHRM1"	"AVPR1B"	0.843
"CHRM1"	"ARRB1"	0.721
"CHRM1"	"SP1"	0.553
"CHRM1"	"LAMB2"	0.402
"DNAI2"	"DYNC1I1"	0.555
"BRSK1"	"RIMS2"	0.716
"SPTBN2"	"DYNC1I1"	0.552
"SPTBN2"	"CABP4"	0.647
"SPTBN2"	"HLA-DRA"	0.5
"OR1E1"	"ARRB1"	1
"DYNC1I1"	"HLA-DRA"	0.564
"LPA"	"LDLR"	0.368
"FHL2"	"SP1"	0.684
"CABP4"	"UBL4B"	NA
"CABP4"	"CACNA1E"	0.631
"IGLL1"	"CD79B"	0.814
"SP1"	"VDR"	0.728
"SP1"	"POU2F1"	0.777
"SP1"	"NR1H3"	0.789
"HIST1H2AK"	"HIST1H2BN"	0.906
"ALAS2"	"GNMT"	0.714
"ALAS2"	"HBD"	0.419
"UBL4B"	"UBE2E3"	NA
"PDCD1"	"HLA-DRA"	1
"OR1J2"	"ARRB1"	1
"SAMM50"	"STK32A"	NA
"TGFB2"	"ITIH3"	0.718
"DNTTIP1"	"WIBG"	NA
"OR5C1"	"ARRB1"	1
"ZNF593"	"MTG1"	0.611
"IDH3B"	"TXNRD2"	0.917
"LRRK1"	"CARD11"	0.665
"UBE2E3"	"ZNRF3"	0.592
"CD79B"	"CARD11"	0.788
"HIST1H2BN"	"SUPT5H"	0.779
"NR1H3"	"LDLR"	0.637
"EEF1D"	"SUPT5H"	0.763
"ARRB1"	"LDLR"	0.757
"ARRB1"	"OR7G1"	1
