"symbol1" "symbol2" "MF"
"ABCA4" "ABCB11" 0.693
"ACADS" "SAMM50" 0
"ALAS2" "HBD" 0.466
"ALAS2" "GNMT" 0.613
"ARRB1" "GNMT" 0.192
"BCS1L" "SAMM50" 0.657
"CBL" "CD79B" 0.231
"CDC34" "FBXL2" 0.627
"CHRM1" "LAMB2" 0
"CHRM1" "SP1" 0
"CHRM1" "F2RL3" 0.983
"DYNC1I1" "SPTBN2" 0.099
"DYNC1I1" "RILP" 0.217
"IDH3B" "PYCR1" 0.441
"IDH3B" "SAMM50" 0
"IRAK2" "PELI3" 0.606
"LDLR" "SNX17" 0.228
"MYO1A" "RAC3" NA
"POU2F1" "SP1" 0.656
"POU2F1" "VDR" 0.572
"PYCR1" "SUPT5H" 0.293
"PYCR1" "ADSSL1" 0.082
"RAC3" "NRBP1" 0.293
"RAC3" "CLEC1B" 0.257
"RAC3" "PLEKHG5" 0.31
"RAC3" "ARHGAP10" 0.257
"SPTBN2" "SPTBN4" 0.53
"SPTBN2" "RILP" 0.458
"UCHL1" "HIST1H2BN" 0.106
"HIST1H2AK" "HIST1H2BN" 0.944
"OR1E1" "OR1J2" NA
"OR1E1" "OR5C1" 0.994
"LY6D" "ABCB11" NA
"MAP3K14" "PELI3" 0.695
"TXNRD2" "SAMM50" 0.657
"SLC35D2" "B3GNT7" 0
"OR1J2" "OR5C1" NA
"DGCR8" "CDT1" 0.335
"PLEKHG5" "ARHGAP10" 0.489
"CDT1" "LMNB2" 0.657
"DERL3" "SERINC5" 0
